spp_file,Alt,Year,variable,value
GOA_ATF,NA,NA,SSB_100, 1.07387e+06
GOA_ATF,NA,NA,SSB_40, 429548
GOA_ATF,NA,NA,SSB_ofl, 375855
GOA_ATF,NA,NA,SSB_2027,874501
GOA_ATF,NA,NA,Mean_rec, 371790
GOA_ATF,NA,NA,C_abc,80264.7
GOA_ATF,NA,NA,C_ofl,85776.6
GOA_ATF,NA,NA,F_0,0 
GOA_ATF,NA,NA,F_abc,0.0993965
GOA_ATF,NA,NA,F_ofl,0.117948
GOA_ATF,1,2027,C_lb,12408.7
GOA_ATF,1,2027,C_ub,12408.7
GOA_ATF,1,2027,C_median,12408.7
GOA_ATF,1,2027,C_mean,12408.7
GOA_ATF,1,2027,C_sd,3.01952e-10
GOA_ATF,1,2028,C_lb,12408.7
GOA_ATF,1,2028,C_ub,12408.7
GOA_ATF,1,2028,C_median,12408.7
GOA_ATF,1,2028,C_mean,12408.7
GOA_ATF,1,2028,C_sd,1.5845e-05
GOA_ATF,1,2029,C_lb,133675
GOA_ATF,1,2029,C_ub,133994
GOA_ATF,1,2029,C_median,133738
GOA_ATF,1,2029,C_mean,133774
GOA_ATF,1,2029,C_sd,112.411
GOA_ATF,1,2030,C_lb,119361
GOA_ATF,1,2030,C_ub,120850
GOA_ATF,1,2030,C_median,119683
GOA_ATF,1,2030,C_mean,119847
GOA_ATF,1,2030,C_sd,532.27
GOA_ATF,1,2031,C_lb,107456
GOA_ATF,1,2031,C_ub,112710
GOA_ATF,1,2031,C_median,108684
GOA_ATF,1,2031,C_mean,109214
GOA_ATF,1,2031,C_sd,1847.38
GOA_ATF,1,2032,C_lb,96618
GOA_ATF,1,2032,C_ub,111007
GOA_ATF,1,2032,C_median,100030
GOA_ATF,1,2032,C_mean,101457
GOA_ATF,1,2032,C_sd,4864.32
GOA_ATF,1,2033,C_lb,85729.3
GOA_ATF,1,2033,C_ub,114555
GOA_ATF,1,2033,C_median,93289.8
GOA_ATF,1,2033,C_mean,96002.1
GOA_ATF,1,2033,C_sd,9723.3
GOA_ATF,1,2034,C_lb,75371
GOA_ATF,1,2034,C_ub,120884
GOA_ATF,1,2034,C_median,88811.8
GOA_ATF,1,2034,C_mean,92192
GOA_ATF,1,2034,C_sd,15148.1
GOA_ATF,1,2035,C_lb,66763.1
GOA_ATF,1,2035,C_ub,123128
GOA_ATF,1,2035,C_median,85846.9
GOA_ATF,1,2035,C_mean,89504
GOA_ATF,1,2035,C_sd,19474
GOA_ATF,1,2036,C_lb,55814.3
GOA_ATF,1,2036,C_ub,126692
GOA_ATF,1,2036,C_median,83304.3
GOA_ATF,1,2036,C_mean,86868
GOA_ATF,1,2036,C_sd,23025.5
GOA_ATF,1,2037,C_lb,45991.8
GOA_ATF,1,2037,C_ub,127683
GOA_ATF,1,2037,C_median,82517.9
GOA_ATF,1,2037,C_mean,84362.5
GOA_ATF,1,2037,C_sd,25764.6
GOA_ATF,1,2038,C_lb,41878.5
GOA_ATF,1,2038,C_ub,129791
GOA_ATF,1,2038,C_median,81424.6
GOA_ATF,1,2038,C_mean,82403.6
GOA_ATF,1,2038,C_sd,27419.1
GOA_ATF,1,2039,C_lb,39939.5
GOA_ATF,1,2039,C_ub,128006
GOA_ATF,1,2039,C_median,78931.3
GOA_ATF,1,2039,C_mean,80810.8
GOA_ATF,1,2039,C_sd,28038.7
GOA_ATF,1,2040,C_lb,39989.3
GOA_ATF,1,2040,C_ub,128249
GOA_ATF,1,2040,C_median,77391.9
GOA_ATF,1,2040,C_mean,79636
GOA_ATF,1,2040,C_sd,27992.6
GOA_ATF,1,2027,SSB_lb,874501
GOA_ATF,1,2027,SSB_ub,874501
GOA_ATF,1,2027,SSB_median,874501
GOA_ATF,1,2027,SSB_mean,874501
GOA_ATF,1,2028,SSB_lb,879111
GOA_ATF,1,2028,SSB_ub,879111
GOA_ATF,1,2028,SSB_median,879111
