"Alt","Scenario","Year","Catch","ABC","OFL","SSB","B_B35","Tot_biom","Rec","F"
3,"Average recent F",2039,14320.60608,14320.60608,169053.0246,951356.523,2.53117963842439,1561586.077,740025.5875,0.00933274
3,"Average recent F",2040,14338.69961,14338.69961,169276.6723,955132.326,2.54122554176478,1563940.912,703332.5905,0.00933274
4,"Alternative SPR rate",2026,16834.9430395913,NA,NA,867674.785295825,2.3085359654543,1433446.21077412,714460.494983721,0.0117688029267458
4,"Alternative SPR rate",2027,12408.7,37979.9,157261,874501,2.32669779569249,1437490,765834.5546,0.00868027
4,"Alternative SPR rate",2028,12408.7,37916.2242,157060.036,879111,2.33896316398611,1447781.94,752625.6587,0.00869564322
4,"Alternative SPR rate",2029,37867.1732,37867.1732,156924.878,881521.794,2.34537732370196,1459551.48,761547.3644,0.0268824
4,"Alternative SPR rate",2030,37077.4395,37077.4395,153714.442,863368.518,2.29707870854452,1446427.26,759169.28,0.0268824
4,"Alternative SPR rate",2031,36518.6887,36518.6887,151441.11,847872.259,2.25584935413923,1437363.44,800786.752,0.0268824
4,"Alternative SPR rate",2032,36189.8606,36189.8606,150101.851,835647.844,2.22332506950819,1432218.06,707846.4077,0.0268824
4,"Alternative SPR rate",2033,36058.1518,36058.1518,149556.839,827467.706,2.20156099027551,1429122.13,764456.5113,0.0268824
4,"Alternative SPR rate",2034,36052.3234,36052.3234,149514.959,822765.663,2.18905073233029,1426829.94,729014.0719,0.0268824
4,"Alternative SPR rate",2035,36113.1655,36113.1655,149744.689,820363.303,2.18265901211904,1424669.742,734147.0427,0.0268824
4,"Alternative SPR rate",2036,36201.7125,36201.7125,150091.4879,819334.764,2.1799224807439,1422196.548,749533.6047,0.0268824
4,"Alternative SPR rate",2037,36283.1969,36283.1969,150406.0263,819440.337,2.18020336832023,1419517.409,741240.0851,0.0268824
4,"Alternative SPR rate",2038,36310.8975,36310.8975,150496.604,820066.298,2.18186880046827,1416687.718,725404.8115,0.0268824
4,"Alternative SPR rate",2039,36262.5262,36262.5262,150284.0217,819407.871,2.18011698926448,1413415.385,740025.5875,0.0268824
4,"Alternative SPR rate",2040,36161.9927,36161.9927,149869.8042,817486.148,2.17500405209456,1409958.908,703332.5905,0.0268824
5,"No fishing",2026,16834.9430395913,NA,NA,867674.785295825,2.3085359654543,1433446.21077412,714460.494983721,0.0117688029267458
5,"No fishing",2027,12408.7,0,157261,874501,2.32669779569249,1437490,765834.5546,0.00868027
5,"No fishing",2028,12408.7,0,157060.036,879111,2.33896316398611,1447781.94,752625.6587,0.00869564322
5,"No fishing",2029,0,0,156924.878,881521.794,2.34537732370196,1459551.48,761547.3644,0
5,"No fishing",2030,0,0,158913.089,894717.918,2.38048693778186,1485535.59,759169.28,0
5,"No fishing",2031,0,0,161286.33,908793.556,2.41793658724774,1511418.75,800786.752,0
5,"No fishing",2032,0,0,164012.966,923804.549,2.457874842692,1537253.56,707846.4077,0
5,"No fishing",2033,0,0,166982.019,940293.106,2.50174430564979,1561504.42,764456.5113,0
5,"No fishing",2034,0,0,169960.902,957712.009,2.54808904763805,1583269.5,729014.0719,0
5,"No fishing",2035,0,0,172783.558,975042.895,2.59419961155233,1602244.42,734147.0427,0
5,"No fishing",2036,0,0,175351.071,991497.631,2.63797909034069,1618297.67,749533.6047,0
5,"No fishing",2037,0,0,177565.197,1006999.529,2.67922344787218,1631797.98,741240.0851,0
5,"No fishing",2038,0,0,179272.466,1021111.026,2.71676850381131,1642984.74,725404.8115,0
5,"No fishing",2039,0,0,180411.861,1032110.786,2.74603447074005,1651674.025,740025.5875,0
5,"No fishing",2040,0,0,181102.353,1040061.716,2.76718871905389,1658294.974,703332.5905,0
6,"OFL threshold determination",2026,16834.9430395913,NA,NA,867674.785295825,2.3085359654543,1433446.21077412,714460.494983721,0.0117688029267458
6,"OFL threshold determination",2027,12408.7,157261,157261,874501,2.32669779569249,1437490,765834.5546,0.00868027
6,"OFL threshold determination",2028,157060.036,157060.036,157060.036,879111,2.33896316398611,1447781.94,752625.6587,0.117948
6,"OFL threshold determination",2029,137049.34,137049.34,137049.34,762135.775,2.02773882215216,1310405,761547.3644,0.117948
6,"OFL threshold determination",2030,121986.231,121986.231,121986.231,667379.799,1.7756310252624,1207526.63,759169.28,0.117948
6,"OFL threshold determination",2031,111156.201,111156.201,111156.201,593205.735,1.57828347368001,1132053.414,800786.752,0.117948
6,"OFL threshold determination",2032,103706.0847,103706.0847,103706.0847,536883.896,1.42843356081468,1078010.853,707846.4077,0.117948
6,"OFL threshold determination",2033,98759.4467,98759.4467,98759.4467,495711.805,1.31889107501563,1038739.651,764456.5113,0.117948
6,"OFL threshold determination",2034,95318.8657,95318.8657,95318.8657,466146.465,1.24022951670192,1009465.821,729014.0719,0.117683248
6,"OFL threshold determination",2035,90252.0881,90252.0881,90252.0881,444839.14,1.18353923720584,987050.408,734147.0427,0.1128299833
6,"OFL threshold determination",2036,86876.0927,86876.0927,86876.0927,431441.086,1.14789236806747,972081.629,749533.6047,0.1087935057
6,"OFL threshold determination",2037,85124.4556,85124.4556,85124.4556,423764.729,1.12746864881404,962235.556,741240.0851,0.1064417801
6,"OFL threshold determination",2038,84062.3277,84062.3277,84062.3277,419444.747,1.11597490255551,955420.022,725404.8115,0.1050568906
6,"OFL threshold determination",2039,83068.7253,83068.7253,83068.7253,415826.01,1.10634688909287,950312.536,740025.5875,0.1040018824
6,"OFL threshold determination",2040,82332.3269,82332.3269,82332.3269,412761.474,1.09819338308656,946680.845,703332.5905,0.1033563166
7,"Status-determination ramp",2026,16834.9430395913,NA,NA,867674.785295825,2.3085359654543,1433446.21077412,714460.494983721,0.0117688029267458
7,"Status-determination ramp",2027,12408.7,157261,157261,874501,2.32669779569249,1437490,765834.5546,0.00868027
7,"Status-determination ramp",2028,133901.08,157060.036,157060.036,879111,2.33896316398611,1447781.94,752625.6587,0.0993964
7,"Status-determination ramp",2029,119520.165,140217.015,140217.015,781145.686,2.0783166008168,1334238.98,761547.3644,0.0993965
7,"Status-determination ramp",2030,127266.356,127266.356,127266.356,699818.134,1.86193647550252,1247457.96,759169.28,0.117948
7,"Status-determination ramp",2031,115241.948,115241.948,115241.948,619655.192,1.64865491213367,1163054.99,800786.752,0.117948
7,"Status-determination ramp",2032,106788.7456,106788.7456,106788.7456,557942.258,1.48446144922909,1101779.674,707846.4077,0.117948
7,"Status-determination ramp",2033,101043.3652,101043.3652,101043.3652,512167.486,1.36267306807146,1056804.312,764456.5113,0.117948
7,"Status-determination ramp",2034,97143.2328,97143.2328,97143.2328,478831.168,1.27397844381477,1023111.932,729014.0719,0.117936422
7,"Status-determination ramp",2035,92229.7212,92229.7212,92229.7212,454405.061,1.20899033137779,997163.13,734147.0427,0.1141370147
7,"Status-determination ramp",2036,88240.0741,88240.0741,88240.0741,438107.43,1.16562884623059,978842.972,749533.6047,0.1098231776
7,"Status-determination ramp",2037,85995.5005,85995.5005,85995.5005,428291.374,1.13951224275319,966614.94,741240.0851,0.1071513177
7,"Status-determination ramp",2038,84597.5104,84597.5104,84597.5104,422448.142,1.12396573678679,958192.207,725404.8115,0.1055250941
7,"Status-determination ramp",2039,83396.6977,83396.6977,83396.6977,417770.824,1.11152126218888,952025.053,740025.5875,0.1043183894
7,"Status-determination ramp",2040,82516.6273,82516.6273,82516.6273,413980.827,1.10143759428503,947697.451,703332.5905,0.1035526931
