"Alt","Scenario","Year","Catch","ABC","OFL","SSB","B_B35","Tot_biom","Rec","F"
1,"Maximum permissible ABC",2026,16834.9430395913,NA,NA,867674.785295825,2.3085359654543,1433446.21077412,714460.494983721,0.0117688029267458
1,"Maximum permissible ABC",2027,12408.7,134083,157261,874501,2.32669779569249,1437490,765834.5546,0.00868027
1,"Maximum permissible ABC",2028,12408.7,133901.08,157060.036,879111,2.33896316398611,1447781.94,752625.6587,0.00869564322
1,"Maximum permissible ABC",2029,133774.269,133774.269,156924.878,881521.794,2.34537732370196,1459551.48,761547.3644,0.0993965
1,"Maximum permissible ABC",2030,119846.943,119846.943,140609.175,784413.213,2.0870101847787,1347565.77,759169.28,0.0993965
1,"Maximum permissible ABC",2031,109213.852,109213.852,128150.414,704173.995,1.8735256814463,1261402.66,800786.752,0.0993965
1,"Maximum permissible ABC",2032,101456.994,101456.994,119058.776,640107.28,1.70306974764204,1196723.935,707846.4077,0.0993965
1,"Maximum permissible ABC",2033,96002.1483,96002.1483,112660.6285,590992.232,1.57239422649692,1147776.119,764456.5113,0.0993965
1,"Maximum permissible ABC",2034,92192.0316,92192.0316,108187.0291,554101.534,1.47424281704381,1110129.596,729014.0719,0.0993965
1,"Maximum permissible ABC",2035,89504.0294,89504.0294,105028.4118,526318.71,1.40032382168655,1080557.895,734147.0427,0.099387532
1,"Maximum permissible ABC",2036,86867.9828,86867.9828,101938.961,505301.646,1.34440581075149,1056727.873,749533.6047,0.0981474463
1,"Maximum permissible ABC",2037,84362.476,84362.476,99004.8434,490217.238,1.30427222732171,1038110.192,741240.0851,0.0961338058
1,"Maximum permissible ABC",2038,82403.5941,82403.5941,96708.7223,479731.852,1.27637480411329,1024152.403,725404.8115,0.0944996907
1,"Maximum permissible ABC",2039,80810.7668,80810.7668,94842.6678,471234.333,1.2537663008341,1013556.521,740025.5875,0.0933091457
1,"Maximum permissible ABC",2040,79636.0228,79636.0228,93468.2568,464262.561,1.23521720078222,1005670.363,703332.5905,0.0925774636
2,"Author-specified ABC",2026,16834.9430395913,NA,NA,867674.785295825,2.3085359654543,1433446.21077412,714460.494983721,0.0117688029267458
2,"Author-specified ABC",2027,12408.7,134083,157261,874501,2.32669779569249,1437490,765834.5546,0.00868027
2,"Author-specified ABC",2028,12408.7,133901.08,157060.036,879111,2.33896316398611,1447781.94,752625.6587,0.00869564322
2,"Author-specified ABC",2029,133774.269,133774.269,156924.878,881521.794,2.34537732370196,1459551.48,761547.3644,0.0993965
2,"Author-specified ABC",2030,119846.943,119846.943,140609.175,784413.213,2.0870101847787,1347565.77,759169.28,0.0993965
2,"Author-specified ABC",2031,109213.852,109213.852,128150.414,704173.995,1.8735256814463,1261402.66,800786.752,0.0993965
2,"Author-specified ABC",2032,101456.994,101456.994,119058.776,640107.28,1.70306974764204,1196723.935,707846.4077,0.0993965
2,"Author-specified ABC",2033,96002.1483,96002.1483,112660.6285,590992.232,1.57239422649692,1147776.119,764456.5113,0.0993965
2,"Author-specified ABC",2034,92192.0316,92192.0316,108187.0291,554101.534,1.47424281704381,1110129.596,729014.0719,0.0993965
2,"Author-specified ABC",2035,89504.0294,89504.0294,105028.4118,526318.71,1.40032382168655,1080557.895,734147.0427,0.099387532
2,"Author-specified ABC",2036,86867.9828,86867.9828,101938.961,505301.646,1.34440581075149,1056727.873,749533.6047,0.0981474463
2,"Author-specified ABC",2037,84362.476,84362.476,99004.8434,490217.238,1.30427222732171,1038110.192,741240.0851,0.0961338058
2,"Author-specified ABC",2038,82403.5941,82403.5941,96708.7223,479731.852,1.27637480411329,1024152.403,725404.8115,0.0944996907
2,"Author-specified ABC",2039,80810.7668,80810.7668,94842.6678,471234.333,1.2537663008341,1013556.521,740025.5875,0.0933091457
2,"Author-specified ABC",2040,79636.0228,79636.0228,93468.2568,464262.561,1.23521720078222,1005670.363,703332.5905,0.0925774636
3,"Average recent F",2026,16834.9430395913,NA,NA,867674.785295825,2.3085359654543,1433446.21077412,714460.494983721,0.0117688029267458
3,"Average recent F",2027,12408.7,13335.7,157261,874501,2.32669779569249,1437490,765834.5546,0.00868027
3,"Average recent F",2028,12408.7,13312.3367,157060.036,879111,2.33896316398611,1447781.94,752625.6587,0.00869564322
3,"Average recent F",2029,13293.9724,13293.9724,156924.878,881521.794,2.34537732370196,1459551.48,761547.3644,0.00933274
3,"Average recent F",2030,13302.584,13302.584,157086.53,883701.403,2.35117639249179,1471801.48,759169.28,0.00933274
3,"Average recent F",2031,13358.6657,13358.6657,157787.73,887133.938,2.36030899682058,1485122.22,800786.752,0.00933274
3,"Average recent F",2032,13460.9987,13460.9987,159017.299,892114.778,2.37356102220271,1499563.8,707846.4077,0.00933274
3,"Average recent F",2033,13600.5832,13600.5832,160664.286,899318.705,2.3927277939631,1513536.52,764456.5113,0.00933274
3,"Average recent F",2034,13756.3958,13756.3958,162484.1,908242.324,2.41646997911429,1526074.1,729014.0719,0.00933274
3,"Average recent F",2035,13911.6371,13911.6371,164293.953,917853.858,2.44204243125673,1536789.48,734147.0427,0.00933274
3,"Average recent F",2036,14055.994,14055.994,165979.73,927351.418,2.46731164411808,1545477.01,749533.6047,0.00933274
3,"Average recent F",2037,14180.45939,14180.45939,167428.32,936628.646,2.4919946415506,1552441.851,741240.0851,0.00933274
3,"Average recent F",2038,14270.96407,14270.96407,168474.7826,945208.422,2.51482199784491,1557879.915,725404.8115,0.00933274
