spp_file,Alt,Year,variable,value
GOA_ATF,NA,NA,SSB_100, 829454
GOA_ATF,NA,NA,SSB_40, 331781
GOA_ATF,NA,NA,SSB_ofl, 290309
GOA_ATF,NA,NA,SSB_2027,709459
GOA_ATF,NA,NA,Mean_rec, 1.24764e+06
GOA_ATF,NA,NA,C_abc,125130
GOA_ATF,NA,NA,C_ofl,134693
GOA_ATF,NA,NA,F_0,0 
GOA_ATF,NA,NA,F_abc,0.235407
GOA_ATF,NA,NA,F_ofl,0.289147
GOA_ATF,1,2027,C_lb,12408.7
GOA_ATF,1,2027,C_ub,12408.7
GOA_ATF,1,2027,C_median,12408.7
GOA_ATF,1,2027,C_mean,12408.7
GOA_ATF,1,2027,C_sd,1.70985e-10
GOA_ATF,1,2028,C_lb,12408.7
GOA_ATF,1,2028,C_ub,12408.7
GOA_ATF,1,2028,C_median,12408.7
GOA_ATF,1,2028,C_mean,12408.7
GOA_ATF,1,2028,C_sd,3.52773e-05
GOA_ATF,1,2029,C_lb,238242
GOA_ATF,1,2029,C_ub,238897
GOA_ATF,1,2029,C_median,238372
GOA_ATF,1,2029,C_mean,238445
GOA_ATF,1,2029,C_sd,230.417
GOA_ATF,1,2030,C_lb,190872
GOA_ATF,1,2030,C_ub,193912
GOA_ATF,1,2030,C_median,191530
GOA_ATF,1,2030,C_mean,191863
GOA_ATF,1,2030,C_sd,1085.83
GOA_ATF,1,2031,C_lb,159698
GOA_ATF,1,2031,C_ub,170400
GOA_ATF,1,2031,C_median,162200
GOA_ATF,1,2031,C_mean,163279
GOA_ATF,1,2031,C_sd,3760.87
GOA_ATF,1,2032,C_lb,137079
GOA_ATF,1,2032,C_ub,166454
GOA_ATF,1,2032,C_median,144043
GOA_ATF,1,2032,C_mean,146954
GOA_ATF,1,2032,C_sd,9927.88
GOA_ATF,1,2033,C_lb,117405
GOA_ATF,1,2033,C_ub,176736
GOA_ATF,1,2033,C_median,132916
GOA_ATF,1,2033,C_mean,138482
GOA_ATF,1,2033,C_sd,19968.5
GOA_ATF,1,2034,C_lb,85141.2
GOA_ATF,1,2034,C_ub,193809
GOA_ATF,1,2034,C_median,125622
GOA_ATF,1,2034,C_mean,130344
GOA_ATF,1,2034,C_sd,34940.4
GOA_ATF,1,2035,C_lb,65352.7
GOA_ATF,1,2035,C_ub,201311
GOA_ATF,1,2035,C_median,122926
GOA_ATF,1,2035,C_mean,125606
GOA_ATF,1,2035,C_sd,46034.6
GOA_ATF,1,2036,C_lb,56067.9
GOA_ATF,1,2036,C_ub,207294
GOA_ATF,1,2036,C_median,121616
GOA_ATF,1,2036,C_mean,125140
GOA_ATF,1,2036,C_sd,50964.2
GOA_ATF,1,2037,C_lb,50368.4
GOA_ATF,1,2037,C_ub,213031
GOA_ATF,1,2037,C_median,122003
GOA_ATF,1,2037,C_mean,125684
GOA_ATF,1,2037,C_sd,53002.6
GOA_ATF,1,2038,C_lb,50181.3
GOA_ATF,1,2038,C_ub,218001
GOA_ATF,1,2038,C_median,123014
GOA_ATF,1,2038,C_mean,125866
GOA_ATF,1,2038,C_sd,54098.3
GOA_ATF,1,2039,C_lb,50758.6
GOA_ATF,1,2039,C_ub,215475
GOA_ATF,1,2039,C_median,119696
GOA_ATF,1,2039,C_mean,125191
GOA_ATF,1,2039,C_sd,53945.4
GOA_ATF,1,2040,C_lb,54395.6
GOA_ATF,1,2040,C_ub,218654
GOA_ATF,1,2040,C_median,119642
GOA_ATF,1,2040,C_mean,124624
GOA_ATF,1,2040,C_sd,53268.9
GOA_ATF,1,2027,SSB_lb,709459
GOA_ATF,1,2027,SSB_ub,709459
GOA_ATF,1,2027,SSB_median,709459
GOA_ATF,1,2027,SSB_mean,709459
GOA_ATF,1,2028,SSB_lb,710860
GOA_ATF,1,2028,SSB_ub,710860
GOA_ATF,1,2028,SSB_median,710860
GOA_ATF,1,2028,SSB_mean,710860
GOA_ATF,1,2029,SSB_lb,711748
GOA_ATF,1,2029,SSB_ub,711931
GOA_ATF,1,2029,SSB_median,711782
GOA_ATF,1,2029,SSB_mean,711802
GOA_ATF,1,2030,SSB_lb,554392
GOA_ATF,1,2030,SSB_ub,555577
GOA_ATF,1,2030,SSB_median,554632
GOA_ATF,1,2030,SSB_mean,554766
GOA_ATF,1,2031,SSB_lb,454147
GOA_ATF,1,2031,SSB_ub,460244
