"Quantity","Rceattle 2027","SPM 2027","Rceattle 2028","SPM 2028"
"Total biomass (t)",1980285,1980340,1996084,1997650
"Female spawning biomass (t)",709459,709459,710860,710860
"B100% (t)",828565,829454,828565,829454
"B40% (t)",331426,331781,331426,331781
"B35% (t)",289998,290309,289998,290309
"FOFL",0.2891,0.2891,0.2891,0.2891
"max FABC",0.2354,0.2354,0.2354,0.2354
"FABC",0.2354,0.2354,0.2354,0.2354
"OFL (t)",284071,284071,284626,284627
"max ABC (t)",237731,237731,238201,238202
"ABC (t)",237731,237731,238201,238202
