Object,Forecast year,N,Arrowtooth flounder
biomass,0,3,-0.02810592833395754
biomass,1,3,-0.028760464645910904
biomass,2,2,-0.040242153394918226
biomass,3,1,-0.03712174489984177
ssb,0,3,-0.007787299800879399
ssb,1,3,-0.015415224942183526
ssb,2,2,-0.03721875899965264
ssb,3,1,-0.0472992088440863
R,0,3,-0.026101316534501356
R,1,3,0.16061606374147222
R,2,2,0.18537231587216085
R,3,1,0.0679590415948131
F_spp,0,3,0.02413969760003784
F_spp,1,3,0.03485293983084609
F_spp,2,2,0.063937778895587
F_spp,3,1,0.07381448886741043
