Object,Forecast year,N,Arrowtooth flounder
biomass,0,10,0.036
biomass,1,10,0.033
biomass,2,9,0.034
biomass,3,8,0.040
ssb,0,10,0.050
ssb,1,10,0.052
ssb,2,9,0.057
ssb,3,8,0.065
R,0,10,-0.008
R,1,10,0.046
R,2,9,0.062
R,3,8,0.095
F_spp,0,10,-0.034
F_spp,1,10,-0.026
F_spp,2,9,-0.017
F_spp,3,8,-0.014
