sigmaR,dNLL
0.1,8.285282493823843
0.15000000000000002,4.070313655681417
0.2,1.3627498744304773
0.25,0.1241458087318108
0.30000000000000004,0
0.35,0.6476351596965912
0.4,1.8075919289614149
0.45000000000000007,3.2984371151865446
0.5,4.996791193135238
0.55,6.819454900736417
0.6,8.710413218732072
0.65,10.631984220833289
0.7000000000000001,12.558913390352814
0.75,14.47444332918434
0.8,16.36768452468175
0.85,18.231841499192427
0.9,20.063004471587703
0.9500000000000001,21.859318112886484
1,23.62040401756667
1.05,25.346955224074378
1.1,27.04044808709017
1.1500000000000001,28.702934263806185
1.2000000000000002,30.3368873211586
1.2500000000000002,31.945086208489045
1.3000000000000003,33.53052345559678
1.35,35.09632964323231
1.4000000000000001,36.6457088888736
1.4500000000000002,NA
1.5,NA
