parameter,Estimate,Std. Error,
rec_pars,13.51877024,0.048000984,743236.9951
R_log_sd,-1.269235296,0.189016153,0.281046457
log_F,-5.175461943,0.071223702,
log_F.1,-5.285378919,0.071406892,
log_F.2,-5.383747365,0.071539425,
log_F.3,-5.343737109,0.071640696,
log_F.4,-5.392647949,0.071880205,
log_F.5,-5.859011863,0.072947434,
log_F.6,-5.542460303,0.075801596,
log_F.7,-6.142229546,0.079809013,
log_F.8,-6.949078832,0.083320905,
log_F.9,-7.180447183,0.085514685,
log_F.10,-5.778221594,0.08641451,
log_F.11,-5.743959774,0.086113488,
log_F.12,-6.435021308,0.084665458,
log_F.13,-5.348077445,0.082379769,
log_F.14,-4.542638058,0.079673562,
log_F.15,-4.30726325,0.076823727,
log_F.16,-4.448407359,0.074355624,
log_F.17,-4.267114464,0.072280476,
log_F.18,-4.493710853,0.070812548,
log_F.19,-4.285292078,0.070138955,
log_F.20,-4.600431569,0.06979384,
log_F.21,-4.832817981,0.069721468,
log_F.22,-4.610443322,0.069738882,
log_F.23,-4.197415912,0.069777698,
log_F.24,-4.38661467,0.069848598,
log_F.25,-4.329182126,0.069749452,
log_F.26,-3.98670345,0.069744108,
log_F.27,-4.666619991,0.069605747,
log_F.28,-4.465459893,0.069982454,
log_F.29,-4.163352686,0.070576409,
log_F.30,-4.252906178,0.070776274,
log_F.31,-4.103887584,0.069891032,
log_F.32,-4.244108722,0.068742221,
log_F.33,-4.237953162,0.067558788,
log_F.34,-3.967889618,0.066808915,
log_F.35,-4.334758675,0.065888078,
log_F.36,-4.246321821,0.065041909,
log_F.37,-3.679089894,0.064454365,
log_F.38,-4.258732057,0.064244736,
log_F.39,-4.180927825,0.064327578,
log_F.40,-3.840086377,0.064987056,
log_F.41,-4.174617377,0.065558252,
log_F.42,-3.898693023,0.066486948,
log_F.43,-4.047269548,0.067170111,
log_F.44,-4.818817112,0.067708598,
log_F.45,-4.700632597,0.068489323,
log_F.46,-4.977185872,0.070068309,
log_F.47,-4.33150562,0.072700871,
log_F.48,-4.661034731,0.075780707,
log_F.49,-4.442303068,0.078930598,
sel_coff,-4.668205532,0.662301277,
sel_coff.1,-3.627124718,0.586300597,
sel_coff.2,-2.601095781,0.54514789,
sel_coff.3,-1.633706267,0.525672392,
sel_coff.4,-0.794663173,0.516872546,
sel_coff.5,-0.148814806,0.512587179,
sel_coff.6,0.274751261,0.509660832,
sel_coff.7,0.486187925,0.507036991,
sel_coff.8,0.528301499,0.505759657,
sel_coff.9,0.491003883,0.505280732,
sel_coff.10,0.427778472,0.504577561,
sel_coff.11,0.358275825,0.504174777,
sel_coff.12,0.291471171,0.504154825,
sel_coff.13,0.231965227,0.504545323,
sel_coff.14,0.180302206,0.505380196,
sel_coff.15,0.135248758,0.50669441,
sel_coff.16,0.095819296,0.508524193,
sel_coff.17,0.061883001,0.510921178,
sel_coff.18,0.03652983,0.513855351,
sel_coff.19,-4.247028031,0.640712824,
sel_coff.20,-3.213595269,0.574959524,
sel_coff.21,-2.202288692,0.541652491,
sel_coff.22,-1.271871994,0.52643046,
sel_coff.23,-0.507200518,0.518813945,
sel_coff.24,0.027406009,0.513567738,
sel_coff.25,0.323514048,0.509303418,
sel_coff.26,0.428297556,0.507407252,
sel_coff.27,0.422508519,0.506748256,
sel_coff.28,0.388685834,0.505738274,
sel_coff.29,0.347536174,0.504971319,
sel_coff.30,0.306568969,0.504590627,
sel_coff.31,0.266860083,0.504601828,
sel_coff.32,0.227490129,0.505017718,
sel_coff.33,0.18684507,0.505866399,
sel_coff.34,0.150163286,0.507224729,
sel_coff.35,0.118961173,0.509155632,
sel_coff.36,0.093921858,0.511725594,
sel_coff.37,0.076467136,0.514864221,
log_sel_slp,0.487594315,0.243632636,
log_sel_slp.1,0.516348056,0.247866521,
sel_inf,2.901186137,0.276019998,
sel_inf.1,3.042554373,0.295482088,
