metric,Estimate,Std. Error
pop_scalar,1,0
pop_scalar.1,1,0
pop_scalar.2,1,0
pop_scalar.3,1,0
pop_scalar.4,1,0
pop_scalar.5,1,0
pop_scalar.6,1,0
pop_scalar.7,1,0
pop_scalar.8,1,0
pop_scalar.9,1,0
pop_scalar.10,1,0
pop_scalar.11,1,0
pop_scalar.12,1,0
pop_scalar.13,1,0
pop_scalar.14,1,0
pop_scalar.15,1,0
pop_scalar.16,1,0
pop_scalar.17,1,0
pop_scalar.18,1,0
pop_scalar.19,1,0
pop_scalar.20,1,0
biomass,1692661.8688196347,81145.98356105069
biomass.1,1680938.3459250715,81169.53792110173
biomass.2,1669683.391634824,81985.8491408181
biomass.3,1658943.2504448611,83896.40727316325
biomass.4,1648129.0211448157,86648.33658975197
biomass.5,1638647.731483134,89667.55132418635
biomass.6,1633413.184083755,92362.33216221971
biomass.7,1627823.2746537018,94280.40405935547
biomass.8,1627694.1653959656,95062.49416664727
biomass.9,1632365.350898742,94539.34463116426
biomass.10,1640760.0874978297,92621.46084629392
biomass.11,1649649.1061286877,89229.39883231197
biomass.12,1661843.4884960258,84687.68134798139
biomass.13,1677446.9806483616,79656.57312379764
biomass.14,1687671.251964847,74714.72851739918
biomass.15,1688368.2899639849,70287.4971681514
biomass.16,1683596.7990234292,66728.70619220682
biomass.17,1679378.3578128552,64228.977049152134
biomass.18,1669024.1716231653,62633.244948021005
biomass.19,1662287.9273162396,61722.683091192695
biomass.20,1651539.5680030265,61362.79571588297
biomass.21,1652004.0422160795,61324.31421107776
biomass.22,1663868.2267841268,61482.86799022464
biomass.23,1688099.6234818154,61408.53732586788
biomass.24,1715261.5329834437,61468.630327757295
biomass.25,1748318.9275618228,61994.35725291647
biomass.26,1773128.4176358655,62626.19966863594
biomass.27,1778310.0760687294,62881.037818989455
biomass.28,1789572.7492278954,62647.809761154196
biomass.29,1787981.3746261683,61999.81382900399
biomass.30,1769348.490841174,60925.17237419636
biomass.31,1743721.887089883,59389.83140704121
biomass.32,1703457.8772209638,57298.750132130335
biomass.33,1657223.35679342,54746.256846952965
biomass.34,1603598.5840878335,52035.23573135863
biomass.35,1539815.0595867943,49490.284498436995
biomass.36,1489565.5163998944,47391.89965848466
biomass.37,1442978.0534042085,45907.53767209355
biomass.38,1387061.0236477691,45127.85108402383
biomass.39,1357596.8602066834,45053.850686910286
biomass.40,1338415.09433279,45460.41708727277
biomass.41,1326028.0114835668,46173.07117012677
biomass.42,1335305.403406591,47582.83939388608
biomass.43,1346310.668776548,50166.513784478186
biomass.44,1361869.47681001,54073.190587011515
biomass.45,1386595.4303686335,58881.7737418499
biomass.46,1404788.0214459118,64234.60046380587
biomass.47,1421443.2714188073,69911.38182721034
biomass.48,1425564.4809359952,75745.86092027789
biomass.49,1433446.2107741237,81621.63853746037
biomass.50,1437469.4936902658,87325.00410531842
biomass.51,1460106.5111863245,92253.33725778619
biomass.52,1482525.6661349041,95646.13333791251
biomass.53,1504561.6904801442,97098.54541486708
biomass.54,1525928.4007637615,96659.21713112964
biomass.55,1546145.0425817454,94656.36209615035
biomass.56,1564964.0105658819,91514.4336405173
biomass.57,1581965.5952402255,87658.2654565608
biomass.58,1597325.0592578382,83434.31363069218
biomass.59,1611125.236702174,79122.2165448984
biomass.60,1623393.140208228,74937.02688788614
biomass.61,1634039.8939042543,71018.97054227718
biomass.62,1642978.7061335014,67456.42040133203
biomass.63,1650498.2623347223,64280.01118819969
biomass.64,1656917.408501473,61503.73278455815
biomass.65,1662422.4546345721,59111.71788935342
biomass.66,1667203.7953540673,57083.896163569916
biomass.67,1671295.7645646809,55370.034536465166
biomass.68,1674725.5898741633,53923.02948434739
biomass.69,1677635.8255805434,52720.45165150212
biomass.70,1680089.3857830118,51621.835402216784
biomass.71,1682094.7856945717,50759.91456084928
biomass.72,1683734.2686136132,50080.50676777604
biomass.73,1685074.872686213,49542.48372956167
ssb,1073375.2634801136,51523.06832984614
