metric,Estimate,Std. Error
ssb.1,1065475.5316121634,51524.08066569477
ssb.2,1058757.061935096,51520.723783302325
ssb.3,1053161.1392571374,51503.705094103934
ssb.4,1047684.6729975428,51438.3797805679
ssb.5,1042416.8036242982,51366.1896221361
ssb.6,1038462.919320708,52213.457437213954
ssb.7,1031952.7107782487,55102.75333717263
ssb.8,1027698.22232558,58789.37147371346
ssb.9,1025705.4724156247,61999.9426956012
ssb.10,1025105.7473515857,64300.954575748605
ssb.11,1022684.1211111627,65565.68302268592
ssb.12,1021563.6380520227,65776.0731842506
ssb.13,1024476.219903209,64934.224626876436
ssb.14,1026009.9868402818,63045.122405026195
ssb.15,1022962.6113045115,60255.41187130203
ssb.16,1019714.7274832944,56695.6504250634
ssb.17,1021754.8239835352,52816.43053895581
ssb.18,1020284.8326580949,49253.30036060298
ssb.19,1020583.4860698092,46358.06679801133
ssb.20,1017262.1906361511,44323.294581627844
ssb.21,1018976.1171647261,43258.44339925255
ssb.22,1020149.7649136528,42743.34033782936
ssb.23,1015202.5537008136,42437.11391875805
ssb.24,1003874.905938,42306.84845269658
ssb.25,999303.279737935,42391.95156066748
ssb.26,1000145.2095865856,42589.421988566166
ssb.27,1004905.1162056435,42888.37563016213
ssb.28,1034884.3514036168,43291.666774550664
ssb.29,1071621.0032713762,44135.13436539471
ssb.30,1095267.2289436806,45522.66026695232
ssb.31,1101276.513253363,45497.893671979415
ssb.32,1090113.1258132653,44290.034750687526
ssb.33,1076392.5708255118,42863.778450443206
ssb.34,1060736.9725998894,41567.28789756625
ssb.35,1036229.7246516485,40327.00789456264
ssb.36,1013306.4030840647,38770.647183092035
ssb.37,981021.143633282,36732.64431765474
ssb.38,929372.2780229165,34581.90302956294
ssb.39,889748.5926623645,32780.43272031621
ssb.40,852796.7520092535,31552.924706437585
ssb.41,817916.7278439103,30838.7626920132
ssb.42,798652.8922785732,30538.881193117235
ssb.43,780880.6332732448,30697.128515797795
ssb.44,770389.8607907398,31321.741971513617
ssb.45,778417.4369980153,32157.21719150897
ssb.46,797174.498522041,33349.58657801691
ssb.47,826712.4148931907,35518.39156136005
ssb.48,849004.6325346248,38857.02807019012
ssb.49,867674.7852958248,42679.89011972604
ssb.50,874501.4929600981,46449.426713033296
ssb.51,889436.2367046527,50176.26714804681
ssb.52,901824.9967599418,54101.0960424932
ssb.53,914072.4019851445,58248.914618805036
ssb.54,926731.1306538348,62340.770525425345
ssb.55,939941.2485435223,65968.05401616589
ssb.56,954118.7986557813,68058.7660884294
ssb.57,968447.4223294081,67444.98688733242
ssb.58,982180.6867983006,64916.87923254966
ssb.59,994871.5414381225,61566.777731810056
ssb.60,1006339.4893685854,57956.363588295135
ssb.61,1016402.5019845321,54363.66449177043
ssb.62,1024916.11124664,50950.71942587491
ssb.63,1032126.575925159,47806.57405404742
ssb.64,1038322.1198404664,44985.666576198244
ssb.65,1043666.1079476508,42505.33318453583
ssb.66,1048331.6790581285,40369.84673637609
ssb.67,1052340.817833723,38546.84651424555
ssb.68,1055711.7039722202,36998.05261212309
ssb.69,1058579.9471248137,35706.310340094074
ssb.70,1061003.6476183871,34517.40848539877
ssb.71,1062988.005748726,33588.975443998046
ssb.72,1064612.6607751546,32861.57456180799
ssb.73,1065942.8158084345,32289.4815510586
exploitable_biomass,0,0
exploitable_biomass.1,0,0
exploitable_biomass.2,0,0
exploitable_biomass.3,0,0
exploitable_biomass.4,0,0
exploitable_biomass.5,0,0
exploitable_biomass.6,0,0
exploitable_biomass.7,0,0
exploitable_biomass.8,0,0
exploitable_biomass.9,0,0
exploitable_biomass.10,0,0
exploitable_biomass.11,0,0
exploitable_biomass.12,0,0
exploitable_biomass.13,0,0
exploitable_biomass.14,0,0
exploitable_biomass.15,0,0
exploitable_biomass.16,0,0
exploitable_biomass.17,0,0
exploitable_biomass.18,0,0
exploitable_biomass.19,0,0
exploitable_biomass.20,0,0
exploitable_biomass.21,0,0
exploitable_biomass.22,0,0
exploitable_biomass.23,0,0
exploitable_biomass.24,0,0
exploitable_biomass.25,0,0
exploitable_biomass.26,0,0
exploitable_biomass.27,0,0
exploitable_biomass.28,0,0
exploitable_biomass.29,0,0
exploitable_biomass.30,0,0
exploitable_biomass.31,0,0
exploitable_biomass.32,0,0
exploitable_biomass.33,0,0
exploitable_biomass.34,0,0
exploitable_biomass.35,0,0
exploitable_biomass.36,0,0
exploitable_biomass.37,0,0
exploitable_biomass.38,0,0
exploitable_biomass.39,0,0
exploitable_biomass.40,0,0
exploitable_biomass.41,0,0
exploitable_biomass.42,0,0
exploitable_biomass.43,0,0
exploitable_biomass.44,0,0
exploitable_biomass.45,0,0
exploitable_biomass.46,0,0
exploitable_biomass.47,0,0
exploitable_biomass.48,0,0
exploitable_biomass.49,0,0
exploitable_biomass.50,0,0
exploitable_biomass.51,0,0
exploitable_biomass.52,0,0
exploitable_biomass.53,0,0
exploitable_biomass.54,0,0
exploitable_biomass.55,0,0
exploitable_biomass.56,0,0
exploitable_biomass.57,0,0
exploitable_biomass.58,0,0
exploitable_biomass.59,0,0
exploitable_biomass.60,0,0
exploitable_biomass.61,0,0
exploitable_biomass.62,0,0
exploitable_biomass.63,0,0
exploitable_biomass.64,0,0
exploitable_biomass.65,0,0
exploitable_biomass.66,0,0
exploitable_biomass.67,0,0
exploitable_biomass.68,0,0
exploitable_biomass.69,0,0
exploitable_biomass.70,0,0
exploitable_biomass.71,0,0
exploitable_biomass.72,0,0
exploitable_biomass.73,0,0
biomass_depletion,1.0009190647412711,0.040062276567991495
biomass_depletion.1,0.9939866124971134,0.03955255342610119
biomass_depletion.2,0.9873312381843713,0.039288439459888566
biomass_depletion.3,0.9809802874876776,0.039627806074728406
biomass_depletion.4,0.9745855263860719,0.040563175337634365
biomass_depletion.5,0.9689789703718282,0.04181183961449518
biomass_depletion.6,0.9658836337403107,0.043018312819465165
biomass_depletion.7,0.9625781614414524,0.043913192524564826
biomass_depletion.8,0.9625018154683532,0.04425156079176098
biomass_depletion.9,0.96526402020091,0.04393197442431724
biomass_depletion.10,0.9702280665118058,0.04291906231310193
biomass_depletion.11,0.9754843958344901,0.04120266214771619
biomass_depletion.12,0.9826952806656849,0.039000842812969616
biomass_depletion.13,0.9919220689921123,0.036700262033133806
biomass_depletion.14,0.9979679711727374,0.0345713569533462
biomass_depletion.15,0.9983801495499065,0.03281684253071428
biomass_depletion.16,0.9955586313615321,0.03160479318727904
biomass_depletion.17,0.9930641471949465,0.03095568089729749
biomass_depletion.18,0.9869414226579021,0.030701414599012183
biomass_depletion.19,0.9829580899700461,0.03070550447359828
biomass_depletion.20,0.9766022796635336,0.030792237475133395
biomass_depletion.21,0.9768769364650423,0.03096127976404422
biomass_depletion.22,0.983892565954025,0.03121961971547484
biomass_depletion.23,0.9982212794240923,0.03153973722435883
biomass_depletion.24,1.0142828883938244,0.032183078333870886
biomass_depletion.25,1.0338306652260913,0.03328701433145418
biomass_depletion.26,1.0485012217377325,0.03443217240168138
biomass_depletion.27,1.0515652836203622,0.03518959843128321
biomass_depletion.28,1.058225222319649,0.03562710236638297
biomass_depletion.29,1.0572841972943,0.035703551268530115
biomass_depletion.30,1.0462660436068687,0.03536717030075938
biomass_depletion.31,1.0311123045573063,0.0346483909196901
biomass_depletion.32,1.0073030513076684,0.03342062710138053
biomass_depletion.33,0.9799632654960051,0.03177921985588329
biomass_depletion.34,0.9482534134977038,0.029906969325028825
biomass_depletion.35,0.9105364028734839,0.028026117233528318
biomass_depletion.36,0.8808224200061429,0.026489794095677796
biomass_depletion.37,0.8532739292240897,0.02531320513341824
biomass_depletion.38,0.8202086004907413,0.024433557555939612
biomass_depletion.39,0.802785603341641,0.024004755942338578
biomass_depletion.40,0.7914428800770281,0.023726644506470742
biomass_depletion.41,0.784118045974773,0.023407394692483367
biomass_depletion.42,0.7896040314618253,0.023288950830313886
biomass_depletion.43,0.7961117576203927,0.02365167927854611
biomass_depletion.44,0.805312122957506,0.024689460164555487
biomass_depletion.45,0.8199332819536568,0.02621046789857481
biomass_depletion.46,0.8306910780508702,0.02797285657917169
biomass_depletion.47,0.8405398006652266,0.02985839447426016
biomass_depletion.48,0.8429767889684032,0.0318908991059292
biomass_depletion.49,0.8476374798030258,0.033997721866239346
biomass_depletion.50,0.8500165613241466,0.03637570652954117
biomass_depletion.51,0.863402473063558,0.038572290635493486
biomass_depletion.52,0.8766595564874732,0.04012566564231366
biomass_depletion.53,0.8896900838979088,0.040640008881884425
biomass_depletion.54,0.9023248268832811,0.04005100832419368
biomass_depletion.55,0.914279501702521,0.038512581256607656
biomass_depletion.56,0.9254076922650065,0.03625789766250511
biomass_depletion.57,0.9354612124303958,0.03353633293648513
biomass_depletion.58,0.9445436999860212,0.0305513572520999
biomass_depletion.59,0.9527041370793908,0.02747151608522829
biomass_depletion.60,0.9599584970492168,0.024428279470905236
biomass_depletion.61,0.9662542250668795,0.021517148376013887
biomass_depletion.62,0.9715399987593152,0.018802351087083384
biomass_depletion.63,0.9759865260302604,0.01631264833865651
biomass_depletion.64,0.9797823495766028,0.014063011978249336
biomass_depletion.65,0.9830376397963451,0.012055655361544147
biomass_depletion.66,0.9858649824389154,0.010286482703892695
biomass_depletion.67,0.9882846801178697,0.008741533095236254
biomass_depletion.68,0.9903128332914194,0.007395746324457686
biomass_depletion.69,0.9920337383670669,0.00623587197101087
biomass_depletion.70,0.9934845982395432,0.005095853416358329
biomass_depletion.71,0.9946704481962805,0.004165334772507543
biomass_depletion.72,0.9956399210367898,0.003405498387718193
biomass_depletion.73,0.9964326583219221,0.0027848117315605234
ssb_depletion,1.001329000518865,0.040346514379010726
ssb_depletion.1,0.9939595083339466,0.04033838266045529
ssb_depletion.2,0.9876919905741814,0.04032634684760381
ssb_depletion.3,0.9824716730834152,0.040284990687168926
ssb_depletion.4,0.9773627939498345,0.040112541969776504
ssb_depletion.5,0.9724485104239847,0.03965128422498775
ssb_depletion.6,0.968760015679803,0.03962975202797049
ssb_depletion.7,0.9626867803120951,0.04148476487106413
ssb_depletion.8,0.9587178583376706,0.044301597960928196
ssb_depletion.9,0.9568588642435175,0.04684948201957925
ssb_depletion.10,0.9562993934606588,0.04869149853282162
ssb_depletion.11,0.9540403097408692,0.04971697837196506
ssb_depletion.12,0.9529950348776592,0.049895214834572856
ssb_depletion.13,0.9557121206660182,0.04921486699385063
ssb_depletion.14,0.9571429392868503,0.04773206858811053
ssb_depletion.15,0.9543001073311883,0.04564410070330993
ssb_depletion.16,0.9512702254518943,0.04307509234731578
ssb_depletion.17,0.9531733881751762,0.04046258062897967
ssb_depletion.18,0.9518020644687754,0.03830582314946035
ssb_depletion.19,0.9520806718975359,0.036625301746119894
ssb_depletion.20,0.9489823058831841,0.03547110570408439
ssb_depletion.21,0.9505811915629756,0.03513944584291536
ssb_depletion.22,0.9516760626368475,0.03518502377591822
ssb_depletion.23,0.9470609143027533,0.03514373024844949
ssb_depletion.24,0.9364935921382828,0.03506814712518765
ssb_depletion.25,0.9322288190906769,0.03512227632223207
ssb_depletion.26,0.9330142375762146,0.03519422675543023
ssb_depletion.27,0.9374546534303785,0.03548807077485448
ssb_depletion.28,0.9654216456263587,0.036352757829293904
ssb_depletion.29,0.9996924884049473,0.03816139902220782
ssb_depletion.30,1.0217515504348698,0.04052520339028054
ssb_depletion.31,1.0273574842181197,0.041123065159539694
ssb_depletion.32,1.0169433970222252,0.04027063510157935
ssb_depletion.33,1.0041437824979376,0.039116099865581774
ssb_depletion.34,0.9895390072090406,0.03805872776522182
ssb_depletion.35,0.9666767157734093,0.03697143107697193
ssb_depletion.36,0.9452920356388773,0.03551383786532318
ssb_depletion.37,0.9151738023636575,0.033407190081768005
ssb_depletion.38,0.8669916719017712,0.030930936005919053
ssb_depletion.39,0.830027576856096,0.02881524693655148
ssb_depletion.40,0.7955559890271134,0.027281544638560994
ssb_depletion.41,0.7630171548245085,0.026346157163262034
ssb_depletion.42,0.7450463315075463,0.025928112028886917
ssb_depletion.43,0.7284669683041595,0.02581906127415944
ssb_depletion.44,0.7186803493257053,0.02595036524711878
ssb_depletion.45,0.7261691047812378,0.026130620275922493
ssb_depletion.46,0.7436671693515245,0.026378198085717834
ssb_depletion.47,0.7712224645811142,0.02731556563882683
ssb_depletion.48,0.7920184012583523,0.029189630057000693
ssb_depletion.49,0.809435390488469,0.031447359558368554
ssb_depletion.50,0.8158038811691078,0.03359116024898482
ssb_depletion.51,0.8297361866130158,0.035630585901892636
ssb_depletion.52,0.8412933979126412,0.03782581791991919
ssb_depletion.53,0.8527187422915867,0.0403098706483857
ssb_depletion.54,0.8645278015804717,0.042957405635306756
ssb_depletion.55,0.8768512401701876,0.0455452382933626
ssb_depletion.56,0.8900771757462382,0.04712497201462102
ssb_depletion.57,0.9034440446410975,0.04626007722551445
ssb_depletion.58,0.9162555155705765,0.04350964612406459
ssb_depletion.59,0.9280945444960447,0.03991399595717584
ssb_depletion.60,0.9387927497089931,0.03601793214234004
ssb_depletion.61,0.9481803205872941,0.032097010645587044
ssb_depletion.62,0.9561224859634506,0.028312185640539868
ssb_depletion.63,0.9628489754172965,0.0247547904438465
ssb_depletion.64,0.9686286668332059,0.021478319993268342
ssb_depletion.65,0.9736139599103002,0.018510398319500097
ssb_depletion.66,0.9779663721708152,0.015863502927372864
ssb_depletion.67,0.9817064126391335,0.013529972654175883
ssb_depletion.68,0.9848510407694488,0.011481174403752343
ssb_depletion.69,0.9875267639269956,0.0097042853310928
ssb_depletion.70,0.9897877826735226,0.007945197901007164
ssb_depletion.71,0.9916389482545902,0.006504978924811298
ssb_depletion.72,0.9931545544448496,0.005325827358038652
ssb_depletion.73,0.9943954278423702,0.004360419708032663
log_biomass,14.341812918084461,0.04793986622835502
log_biomass.1,14.334862734695571,0.048288230272022066
log_biomass.2,14.328144580571859,0.04910263200291158
log_biomass.3,14.321691361501829,0.05057219844661089
log_biomass.4,14.31515127591671,0.052573758169469444
log_biomass.5,14.309381905695071,0.05472045614283957
log_biomass.6,14.306182361432299,0.056545602216397775
log_biomass.7,14.30275426599973,0.057918083324746863
log_biomass.8,14.302674948803507,0.058403167000062074
log_biomass.9,14.305540656423986,0.057915554614727055
log_biomass.10,14.310670160418749,0.056450337591733034
log_biomass.11,14.31607316030848,0.05408992645818536
log_biomass.12,14.323438079383195,0.0509600825434073
log_biomass.13,14.332783541157616,0.0474867903681874
log_biomass.14,14.338860179225643,0.044270901948714046
log_biomass.15,14.339273111598255,0.04163042956086949
log_biomass.16,14.336443014607696,0.0396346121772819
log_biomass.17,14.333934257791862,0.03824568582198534
log_biomass.18,14.32774968523722,0.037526865106518335
log_biomass.19,14.32370548085881,0.03713116246404068
log_biomass.20,14.317218482353116,0.037154904977590275
log_biomass.21,14.3174996799221,0.037121164745344264
log_biomass.22,14.324655706593008,0.03695176517016426
log_biomass.23,14.339113971046872,0.036377318300213055
log_biomass.24,14.355076124322075,0.03583630201328057
log_biomass.25,14.374165271393695,0.035459409765341135
log_biomass.26,14.388256012008107,0.03531960744960383
log_biomass.27,14.391174075839936,0.03535999636126404
log_biomass.28,14.397487461744342,0.03500713217061636
log_biomass.29,14.396597817785596,0.03467587230430012
log_biomass.30,14.386121952519845,0.03443367583580534
log_biomass.31,14.371532402322858,0.03405923378421173
log_biomass.32,14.348170788581054,0.033636728502854436
log_biomass.33,14.320654083216777,0.033034929554023526
log_biomass.34,14.287760776791652,0.03244904070613007
log_biomass.35,14.247172876000883,0.032140408155066115
log_biomass.36,14.213995035666558,0.03181592158029098
log_biomass.37,14.182219628634257,0.0318144392867172
log_biomass.38,14.142697695191261,0.032534870719201775
log_biomass.39,14.121226680146595,0.033186472367099595
log_biomass.40,14.106996706484754,0.033965858035944485
log_biomass.41,14.09769857430389,0.03482058506325829
log_biomass.42,14.104670590250096,0.03563442435902244
log_biomass.43,14.112878571452416,0.03726221216835987
log_biomass.44,14.124368929095017,0.03970511969595678
log_biomass.45,14.14236196991942,0.042464999128257526
log_biomass.46,14.155396974951573,0.04572547564698828
log_biomass.47,14.167183301727661,0.04918337807278695
log_biomass.48,14.17007842021994,0.053133942331773563
log_biomass.49,14.175592040597806,0.0569408450236728
log_biomass.50,14.178394829647774,0.06074911814729232
log_biomass.51,14.194019943890934,0.06318260794743742
log_biomass.52,14.209257722442706,0.0645156677707117
log_biomass.53,14.224012178186435,0.06453610113114103
log_biomass.54,14.238113570173857,0.06334452984999132
log_biomass.55,14.251275321698955,0.0612208812816769
log_biomass.56,14.263373385248443,0.05847702121113071
log_biomass.57,14.274178679437492,0.05541098094693372
log_biomass.58,14.283840950165494,0.052233772422914396
log_biomass.59,14.292443397624394,0.049109910727271784
log_biomass.60,14.300029047729401,0.046160738906580685
log_biomass.61,14.306565968978132,0.04346220114160718
log_biomass.62,14.312021436578451,0.041057391766251415
log_biomass.63,14.316587777463393,0.038945821789155975
log_biomass.64,14.320469451172164,0.03711937147198095
log_biomass.65,14.32378640659546,0.03555757907658145
log_biomass.66,14.32665840702256,0.03423930315096658
log_biomass.67,14.329109790457734,0.03313000350412979
log_biomass.68,14.331159882879406,0.032198128344357035
log_biomass.69,14.332896113599661,0.03142544457362091
log_biomass.70,14.334357555787284,0.030725648194103828
log_biomass.71,14.335550470896687,0.030176607758693866
log_biomass.72,14.336524663597652,0.029743711761008703
log_biomass.73,14.337320555610015,0.02940076107750926
log_ssb,13.886318693443593,0.04800098351698293
log_ssb.1,13.878931766026403,0.04835782628225541
log_ssb.2,13.872606194994724,0.04866151606973712
log_ssb.3,13.867306808142633,0.04890391714456234
log_ssb.4,13.86209321404396,0.04909719604219936
log_ssb.5,13.857052424793599,0.04927605679757368
log_ssb.6,13.853252215662474,0.05027955882273432
log_ssb.7,13.84696340108445,0.05339658761651669
log_ssb.8,13.842832123851602,0.05720489750452124
log_ssb.9,13.840891199579724,0.0604461459580458
log_ssb.10,13.840306333381067,0.06272616726798529
log_ssb.11,13.837941220234889,0.06411137287576908
log_ssb.12,13.836844989930782,0.064387641390287
log_ssb.13,13.839692034974629,0.06338285200315467
log_ssb.14,13.841188038427937,0.061446889614769795
log_ssb.15,13.838213496176435,0.05890284865295577
log_ssb.16,13.83503346720506,0.05559952101995336
log_ssb.17,13.83703212271074,0.05169188272881291
log_ssb.18,13.835592393982086,0.048274068950222404
log_ssb.19,13.835885066871468,0.04542310103069841
log_ssb.20,13.832625449705771,0.043571160896002624
log_ssb.21,13.83430887440785,0.04245285308513217
log_ssb.22,13.835460002828945,0.04189908365214121
log_ssb.23,13.830598710844885,0.041801622507802054
log_ssb.24,13.819377975791841,0.042143546175373255
log_ssb.25,13.814813594879855,0.04242150748447925
log_ssb.26,13.815655757008969,0.04258323849410895
log_ssb.27,13.820403683282567,0.04267903002832904
log_ssb.28,13.849800240664193,0.04183237162281374
log_ssb.29,13.884683016377812,0.04118539505166637
log_ssb.30,13.9065089361561,0.04156306247823754
log_ssb.31,13.911980531541682,0.0413137782604395
log_ssb.32,13.901792033969805,0.040628842733771764
log_ssb.33,13.889125795939565,0.03982169666738775
log_ssb.34,13.874474481678657,0.03918717737884063
log_ssb.35,13.8510994191622,0.038917053752843704
log_ssb.36,13.828729208457265,0.0382615239231599
log_ssb.37,13.796349291458233,0.03744327485298917
log_ssb.38,13.742264667366891,0.03720995756741328
log_ssb.39,13.698694221648642,0.0368423541106465
log_ssb.40,13.656276523766921,0.03699934906189136
log_ssb.41,13.614515810701121,0.037704037149730966
log_ssb.42,13.590681702670974,0.03823798985562947
log_ssb.43,13.568177578822349,0.0393109102823098
log_ssb.44,13.554651978412078,0.04065700181900693
log_ssb.45,13.56501821067962,0.04131101856546793
log_ssb.46,13.588828878000847,0.04183473836637642
log_ssb.47,13.625212168538422,0.042963418622362096
log_ssb.48,13.651819921738698,0.045767745641370726
log_ssb.49,13.673572252117477,0.04918880995853159
log_ssb.50,13.681409280655,0.05311532008459672
log_ssb.51,13.698343099094352,0.05641356297102206
log_ssb.52,13.712175763325197,0.05999068138149473
log_ssb.53,13.725665061724749,0.06372461797588731
log_ssb.54,13.739418760032924,0.06726953316162176
log_ssb.55,13.75357265074344,0.07018316742497056
log_ssb.56,13.768543469570446,0.07133154297380433
log_ssb.57,13.783449472621335,0.06964238360520064
log_ssb.58,13.797530569187177,0.06609464032953533
log_ssb.59,13.810368903723791,0.06188414802057065
log_ssb.60,13.821830037294555,0.05759126438003451
log_ssb.61,13.831779992039177,0.05348635445664983
log_ssb.62,13.840121324519146,0.04971208752285279
log_ssb.63,13.847131868592886,0.046318518647962714
log_ssb.64,13.853116621965677,0.04332534742023038
log_ssb.65,13.858250176297892,0.04072694596562283
log_ssb.66,13.862710581442359,0.03850865860759478
log_ssb.67,13.866527591137245,0.03662962213477137
log_ssb.68,13.86972569837292,0.03504560238644156
log_ssb.69,13.872438895401,0.03373038610553243
log_ssb.70,13.874725855496324,0.03253278964957313
log_ssb.71,13.87659437386318,0.03159864011855838
log_ssb.72,13.87812159216854,0.03086716490660663
log_ssb.73,13.879370238562142,0.030291945376609668
log_R,13.467673871275146,0.2801803021878628
log_R.1,13.466962416016017,0.2795825741898404
log_R.2,13.465926270776938,0.2784385404379747
log_R.3,13.476019120882555,0.2774558672597335
log_R.4,13.487584218356846,0.2761477353081737
log_R.5,13.500295189922001,0.2740813578314158
log_R.6,13.50613362527618,0.27155410531697655
log_R.7,13.511951272287794,0.2685220091485401
log_R.8,13.578871499675373,0.2633713334269653
log_R.9,13.573153697040064,0.25953982200125814
log_R.10,13.630957543077583,0.2542310777423848
log_R.11,13.67999163254121,0.24912555666763447
log_R.12,13.591775893501827,0.24421476416197818
log_R.13,13.539028776542507,0.24149038644008733
log_R.14,13.642130523596961,0.23439693266293138
log_R.15,13.620965970455462,0.2331017166963658
log_R.16,13.49475936269291,0.23401169948218348
log_R.17,13.477938740127017,0.23161534506794831
log_R.18,13.571901784235425,0.2235702235188085
log_R.19,13.519192038260673,0.22717184225336487
log_R.20,13.62382762293915,0.2248083409016838
log_R.21,13.76900946189571,0.22132891056560078
log_R.22,13.80783043479349,0.22583689341131954
log_R.23,14.130395774886964,0.21266252871382654
log_R.24,13.65246743448033,0.22414726752600989
log_R.25,13.568436494577313,0.21743538287946557
log_R.26,13.540215511503932,0.2142686915243815
log_R.27,13.528671106568053,0.21348189965580697
log_R.28,13.565179395680568,0.2082717641709844
log_R.29,13.549277586416034,0.20169901037630222
log_R.30,13.315377826615729,0.21062506744804851
log_R.31,13.295409483784224,0.20013257708094093
log_R.32,13.103954443755516,0.21201628180413434
log_R.33,13.030165776995656,0.21666902700192955
log_R.34,13.170446698318843,0.19954534109787594
log_R.35,13.252393336187067,0.19592817176106667
log_R.36,13.387351406170122,0.1858533256973562
log_R.37,13.268576165007357,0.1981705291015574
log_R.38,13.308489731274413,0.20131064733625176
log_R.39,13.453054242470976,0.20171428753985285
log_R.40,13.623913599579833,0.20483875666439993
log_R.41,13.697382326195898,0.2106649923059887
log_R.42,13.594287212193645,0.21993059549769078
log_R.43,13.470511840612469,0.22911397319345603
log_R.44,13.403550377038922,0.23909609290115044
log_R.45,13.369218660390642,0.25113458105887243
log_R.46,13.415597452896105,0.26009427694526843
log_R.47,13.449887491875916,0.2723143299552525
log_R.48,13.445429861578464,0.2812832186228426
log_R.49,13.479282984387826,0.28550779685967664
log_R.50,13.517442150784296,0.027987653596412452
log_R.51,13.517442150784296,0.027987653596412452
log_R.52,13.517442150784296,0.027987653596412452
log_R.53,13.517442150784296,0.027987653596412452
log_R.54,13.517442150784296,0.027987653596412452
log_R.55,13.517442150784296,0.027987653596412452
log_R.56,13.517442150784296,0.027987653596412452
log_R.57,13.517442150784296,0.027987653596412452
log_R.58,13.517442150784296,0.027987653596412452
log_R.59,13.517442150784296,0.027987653596412452
log_R.60,13.517442150784296,0.027987653596412452
log_R.61,13.517442150784296,0.027987653596412452
