group,source,fleet,n,sdnr,sdnr_lo,sdnr_hi,lower,lower_lo,lower_hi,upper,upper_lo,upper_hi,sdnr_ok,lower_ok,upper_ok
comp fleet 1,comp,1,656,0.7899124693869355,0.945841923558766,1.0541185533395256,-1.7016631212182312,-2.1589082392129506,-1.7531863718387577,1.5260113465207086,1.7495631591734955,2.148784880087804,FALSE,FALSE,FALSE
index fleet 1,index,1,16,2.029928812915793,0.6461237133884526,1.3537206226653755,-3.176489007040959,-2.5266373184223614,-0.7513124822316095,3.7337188310752905,0.7416190204622092,2.5443923540575293,FALSE,FALSE,FALSE
catch fleet 3,catch,3,50,0.768796175965284,0.8024823281501011,1.1971259252675315,-0.9927039359670232,-2.480468264507931,-1.229663576184925,1.5789044693193262,1.2117118218430618,2.488094507868374,FALSE,FALSE,TRUE
comp fleet 3,comp,3,1254,0.8608284380331691,0.960842315461272,1.0391368198215325,-2.1669271624200928,-2.1024181445482157,-1.811372631962298,1.3041518695615495,1.8100553852353902,2.1018054454574906,FALSE,FALSE,FALSE
all,NA,NA,1976,0.8569087553200463,0.9688106459663811,1.0311760649755488,-2.023671645893039,-2.0769082390531386,-1.8399509793882276,1.4279458365089246,1.839264753941054,2.07510869117063,FALSE,TRUE,FALSE
