"","Component","SS","ss_M_ll[, 2]","ms_ll[, 2]"
"1","Catch",92.4474004928836,591.598320665831,70.1965920056919
"2","Fishery length",0,0,0
"3","Survey",0,0,0
"4","Survey age",0,0,0
"5","PENALTIES",NA,NA,NA
"6","Recruitment deviations",19.1555623212687,15.7684948101295,15.4064276543491
"7","Slectivity",12.5023190337456,18.6071922988592,7.9959187064499
"8","Joint nll",77.1721944719229,870.645859205021,35.3494593171296
"9","Marginal nll",91.6319400755229,914.901199266748,53.7547749058547
"10","N parm",92,94,94
"11","q",1,1,1
"12","Mean R",781673.042554475,1726806.52046646,2671887.84612149
"13","sigmaR",0.442112964402246,0.375073370659146,0.425651420150792
"14","F40%",NA,NA,NA
"15","2023 Biomass",1292004.83387341,1775338.47652497,1809187.7133964
"16","2023 SSB",743066.791724241,691954.948241286,564415.984539948
"17","B0",1630169.84389382,1959219.42335723,2165308.76428383
"18","B40",652067.937557526,783687.769342894,866123.505713532
"19","SB0",952003.705573771,751949.419921195,699694.84035323
"20","SB40",380801.482229508,300779.767968478,279877.936141292
"21","ABC",NA,NA,NA
