"","Year","Beaten_tonnes","Ration_tonnes","M_f_age1","M_f_age2","M_f_age3","M_f_age4","M_f_age5","M_m_age1","M_m_age2","M_m_age3","M_m_age4","M_m_age5"
"1977",1977,26535.9228820873,6858798.88944233,0.350639867450382,0.371959603631512,0.365968268954758,0.335992883174353,0.325955473553308,0.447154576786164,0.476052740065424,0.471604589510063,0.425337096992228,0.412219171401525
"1978",1978,22069.8374381732,6526144.86085266,0.347895925925468,0.371648135826616,0.365633971033621,0.335878490164261,0.325923936449345,0.443024872001783,0.47561013620719,0.471091370086743,0.42516229625711,0.412150053330641
"1979",1979,19081.3913675591,6362147.29317813,0.347832223944629,0.372408757388318,0.36637388158935,0.336099832774677,0.325975049731699,0.442928248885731,0.476694096615917,0.472228063965447,0.425495045840418,0.412257586247947
"1980",1980,18538.4448181865,6133280.87455382,0.348148616827905,0.372436851921197,0.366670072991944,0.336192622760231,0.325993877968742,0.4434099239568,0.476702801510563,0.472688767950244,0.425637419215641,0.41229948999414
"1981",1981,19115.9995141955,6214494.23864257,0.349225928425884,0.374671092496149,0.369611055701026,0.33712940288848,0.326220365300589,0.44504591530082,0.47979945120347,0.477220364382216,0.42706517620403,0.412792059309969
"1982",1982,14742.9811543761,4865759.89661492,0.343433846885925,0.36359139463067,0.360892976999284,0.334494815895235,0.325566421345121,0.436383228326939,0.463773345485365,0.463876343378421,0.423099711262661,0.411417606071822
"1983",1983,15758.4040668823,5284575.76856681,0.344953334565041,0.366079925635253,0.364687290857232,0.335759594599483,0.325886487865971,0.438692014779957,0.467178667838697,0.469730933978043,0.425029731194742,0.412119761967293
"1984",1984,15389.1034761372,5046839.48205828,0.343243285694664,0.361504431542051,0.360825994501613,0.334683747660154,0.325650728144351,0.436129653755102,0.460645793484737,0.463815232181018,0.423374184894306,0.411620214748616
"1985",1985,19212.4681664057,5449369.97956036,0.344017704002026,0.35848184997379,0.357642045625886,0.333774206483304,0.325460371459425,0.437293148268699,0.456372914157125,0.458921469296808,0.422007024284676,0.411223177033269
"1986",1986,25249.9197017863,5882506.28583512,0.34988994312206,0.356765473764178,0.355203093774846,0.333047981716502,0.325316249929038,0.44612308119922,0.453967803838975,0.455141991235858,0.420978206602276,0.410943175797452
"1987",1987,27932.377271853,6558631.26879773,0.348531582391966,0.357179167124814,0.355092868786949,0.333058110415592,0.32534708158673,0.444068436764192,0.454609021160408,0.454953411871273,0.421019924752228,0.411020057182498
"1988",1988,23861.288475603,6521152.85343481,0.345617292262667,0.354701082601433,0.35182427132744,0.332010076001655,0.325087111090092,0.439664357718089,0.451200823175134,0.449909392652809,0.419400123519525,0.410449923316901
"1989",1989,22415.5044701377,6428097.5572975,0.346053244862478,0.354536425677953,0.349060124216796,0.331027171249354,0.324839268896211,0.440265007712598,0.451266938770889,0.445615027400716,0.417861704347129,0.409881077903747
"1990",1990,22486.7885981509,6611274.17726202,0.346679961466984,0.358252643352238,0.349160128512135,0.330906515457102,0.324807263183989,0.441140331530512,0.456955426740475,0.445693187667136,0.417629117526999,0.409771848564245
"1991",1991,23284.4871002354,6968030.75869706,0.347917889383501,0.36333818177897,0.351204298299364,0.331283602778161,0.324862649867897,0.442947519401124,0.46444963309963,0.448773024982763,0.418212197536568,0.409856111709165
"1992",1992,26820.73658209,7427391.34214809,0.352148480964203,0.369042375954188,0.356266754769347,0.332520255573313,0.325073027632041,0.449317250394469,0.472459218905033,0.456536985156631,0.420180894797493,0.410305450788847
"1993",1993,26360.2287512231,6979069.42557657,0.350842752309126,0.369337314318876,0.358902378978115,0.333267238551249,0.325175535702463,0.447392921701949,0.472688043913357,0.46064877845437,0.421207142901643,0.410487908407396
"1994",1994,24894.823784967,6735074.37985548,0.349498195364085,0.370975983703524,0.362951066497887,0.334536060520145,0.325422438931932,0.445399977690031,0.474889507087746,0.466962940189592,0.422944848292588,0.410955071931671
"1995",1995,22163.3552910114,6287025.86088502,0.347884598241485,0.368902499474519,0.361769590495448,0.334130302110012,0.325303616653315,0.442995490733091,0.471774302057882,0.465169013253281,0.422387323083816,0.41072288508153
"1996",1996,23322.7491641022,6484207.94873506,0.3492376675122,0.370509139208632,0.363482376357743,0.33465613618208,0.325433098616961,0.445039451890926,0.473999083488976,0.467828980891264,0.423206515779664,0.410997196071806
"1997",1997,25336.2852492071,6535690.72170076,0.349401239173289,0.370203025431544,0.364064344792955,0.334932883498184,0.325516690077569,0.445297105456046,0.47350781235012,0.468750604744126,0.423599729052127,0.411175634683645
"1998",1998,33541.9302422668,7719839.3818831,0.35467444442665,0.3752870715499,0.369396889158833,0.336560887070033,0.325908662148194,0.453240803468754,0.480648520349287,0.476966510744229,0.426108164606148,0.412019687061368
"1999",1999,33268.0431103883,6898305.30753981,0.352253312218059,0.366002584484593,0.362319207263455,0.334609782356394,0.325477221970404,0.449637692046011,0.467305817381774,0.466100203964684,0.423141004865125,0.411137354824872
"2000",2000,38992.6767880026,7751447.11978583,0.351282725033221,0.364742221636328,0.361344083879248,0.334414354444216,0.325459804416669,0.448176515220005,0.4655286664151,0.464607686487936,0.422825834047423,0.411103531298774
"2001",2001,43886.330874501,8372032.2606213,0.360133786606308,0.366274941958388,0.361386685120117,0.334463626880643,0.325510428010414,0.461465149161182,0.467879692074833,0.464639908238214,0.422906902823921,0.411212279068483
