
Initial statistics: 47 variables; iteration 0; function evaluation 0; phase 1
Function value 2.0676192e+06; maximum gradient component mag -1.5286e+06
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 18.00000 -1.52861e+06 |  2 -5.00000 -1.45487e+06 |  3  0.11294  3.31412e+04
  4  0.11294  4.31334e+04 |  5  0.11294  5.20581e+04 |  6  0.11294  4.83784e+04
  7  0.11294  5.29020e+04 |  8  0.11294  9.56961e+04 |  9  0.11294  6.72027e+04
 10  0.11294  1.22461e+05 | 11  0.11294  1.96826e+05 | 12  0.11294  2.18828e+05
 13  0.11294  9.15125e+04 | 14  0.11294  8.87518e+04 | 15  0.11294  1.52121e+05
 16  0.11294  5.29900e+04 | 17  0.11294 -2.11179e+04 | 18  0.11294 -4.23140e+04
 19  0.11294 -2.97545e+04 | 20  0.11294 -4.65700e+04 | 21  0.11294 -2.59826e+04
 22  0.11294 -4.49345e+04 | 23  0.11294 -1.59333e+04 | 24  0.11294  5.50735e+03
 25  0.11294 -1.43967e+04 | 26  0.11294 -5.13927e+04 | 27  0.11294 -3.36796e+04
 28  0.11294 -3.94302e+04 | 29  0.11294 -7.19999e+04 | 30  0.11294 -1.25799e+04
 31  0.11294 -3.43413e+04 | 32  0.11294 -6.44606e+04 | 33  0.11294 -5.71438e+04
 34  0.11294 -7.00913e+04 | 35  0.11294 -5.58352e+04 | 36  0.11294 -5.47707e+04
 37  0.11294 -7.67530e+04 | 38  0.11294 -4.02845e+04 | 39  0.11294 -4.49233e+04
 40  0.11294 -9.34840e+04 | 41  0.11294 -3.57355e+04 | 42  0.11294 -4.00948e+04
 43  0.11294 -6.90939e+04 | 44  0.11294 -3.77223e+04 | 45  0.11294 -6.33010e+04
 46  0.11294 -5.08283e+04 | 47  0.11294  1.74409e+04 |

Intermediate statistics: 47 variables; iteration 20; function evaluation 51; phase 1
Function value 1.7650056e+04; maximum gradient component mag -1.1742e+05
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 21.65582 -1.14314e+05 |  2 -6.43825 -1.17424e+05 |  3  0.04844  1.05292e+03
  4  0.03584  3.98744e+03 |  5  0.02586  7.37727e+03 |  6  0.03084  7.16522e+03
  7  0.02430  8.09754e+03 |  8 -0.04646  7.95810e+03 |  9  0.01591  1.77286e+04
 10 -0.10472 -6.03419e+02 | 11 -0.23236 -1.60895e+03 | 12 -0.25214  7.74355e+03
 13 -0.04205  4.43056e+03 | 14 -0.04509 -6.54646e+02 | 15 -0.11186  2.17095e+04
 16  0.01090 -3.56908e+03 | 17  0.13419 -3.17206e+03 | 18  0.17138 -2.32326e+03
 19  0.16013  3.46225e+03 | 20  0.20549  1.27804e+04 | 21  0.14607 -1.15641e+03
 22  0.17153 -4.96810e+03 | 23  0.12717 -2.51247e+03 | 24  0.10100  3.01507e+03
 25  0.12284 -3.91526e+03 | 26  0.18125 -6.14318e+03 | 27  0.16289  5.73520e+02
 28  0.17282  6.67767e+02 | 29  0.20875 -1.03929e+04 | 30  0.13471  5.01067e+03
 31  0.16372  5.70932e+02 | 32  0.19968 -7.99829e+03 | 33  0.20457  2.06776e+03
 34  0.21750 -2.87318e+03 | 35  0.20182  2.46822e+03 | 36  0.19264 -1.26442e+03
 37  0.23405  1.13696e+03 | 38  0.15512 -7.66638e+03 | 39  0.16127 -7.98620e+03
 40  0.24702 -5.75869e+03 | 41  0.14134 -8.95597e+03 | 42  0.14607 -9.55697e+03
 43  0.18925 -1.17756e+04 | 44  0.14091 -8.03522e+03 | 45  0.18338 -7.17023e+03
 46  0.15553 -9.79804e+03 | 47  0.06399  2.32680e+03 |
47 variables; iteration 40; function evaluation 96; phase 1
Function value 2.2629042e+03; maximum gradient component mag 6.6385e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 21.15746  6.63848e+03 |  2 -5.73130  3.04782e+03 |  3  0.04954 -2.45162e+03
  4  0.03820  1.19419e+03 |  5  0.01936 -9.44941e+02 |  6  0.02019 -3.78023e+03
  7  0.01674 -9.85275e+02 |  8 -0.05585 -2.21768e+03 |  9 -0.00844 -1.80992e+03
 10 -0.09551  5.84804e+02 | 11 -0.22147  1.91185e+02 | 12 -0.25752  8.74775e+02
 13 -0.04351 -8.87774e+02 | 14 -0.03371  1.92998e+03 | 15 -0.14093 -7.40132e+00
 16  0.02474  4.87429e+02 | 17  0.14630 -6.51756e+02 | 18  0.18100 -1.57319e+03
 19  0.16296  1.89466e+02 | 20  0.18695 -2.66031e+03 | 21  0.15679 -3.12896e+01
 22  0.18822 -6.78126e+02 | 23  0.14236  1.13007e+03 | 24  0.10439 -3.32283e+02
 25  0.14041  1.08960e+03 | 26  0.20139 -2.38878e+02 | 27  0.16977 -1.05531e+03
 28  0.18365  1.18956e+03 | 29  0.23672 -7.71309e+02 | 30  0.13784  9.99304e+02
 31  0.16941 -2.01056e+03 | 32  0.22176 -1.62984e+03 | 33  0.20986 -1.00778e+03
 34  0.23381 -6.70464e+01 | 35  0.20869  1.15453e+02 | 36  0.20787  1.05016e+03
