
Initial statistics: 47 variables; iteration 0; function evaluation 0; phase 1
Function value 2.0676192e+06; maximum gradient component mag -1.5286e+06
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 37  0.24196 -8.87206e+02 | 38  0.17992  3.76300e+02 | 39  0.18936  1.86450e+03
 40  0.26820 -9.17403e+02 | 41  0.17176  2.40783e+03 | 42  0.17592  1.47942e+03
 43  0.22235  4.95761e+02 | 44  0.16814  1.59373e+03 | 45  0.20996  1.64874e+03
 46  0.18509  1.11507e+03 | 47  0.07479  2.74102e+03 |
47 variables; iteration 60; function evaluation 141; phase 1
Function value 9.7549312e+01; maximum gradient component mag 8.3891e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 19.98571  8.38914e+02 |  2 -4.50341  7.17421e+02 |  3  0.04730 -1.78855e+02
  4  0.03084 -3.30734e+01 |  5  0.01581 -1.07405e+02 |  6  0.02168 -8.32170e+01
  7  0.01405 -1.09282e+02 |  8 -0.05654 -2.66533e+02 |  9 -0.00922 -2.02304e+01
 10 -0.10042 -2.11705e+02 | 11 -0.22624 -3.15426e+02 | 12 -0.26373 -2.28762e+02
 13 -0.04628 -2.46066e+02 | 14 -0.04071 -9.67217e+01 | 15 -0.14474 -5.25395e+00
 16  0.01996 -2.08857e+02 | 17  0.14416 -3.67008e+01 | 18  0.18128 -1.50374e+02
 19  0.16119 -1.79656e+02 | 20  0.19164  6.24981e+01 | 21  0.15773  3.74210e+01
 22  0.19102 -4.66015e+01 | 23  0.14287  3.64735e+01 | 24  0.10717 -2.43699e+02
 25  0.14133 -6.83487e+01 | 26  0.20483 -2.89756e+02 | 27  0.17565 -6.90472e+01
 28  0.18637  7.25653e+01 | 29  0.24354 -1.60873e+02 | 30  0.14266  3.01930e+02
 31  0.17913  1.54880e+00 | 32  0.23140 -1.48961e+02 | 33  0.21937  4.00384e+01
 34  0.24276  2.14679e+02 | 35  0.21741 -1.66277e+01 | 36  0.21580  2.67634e+02
 37  0.25414  2.01370e+02 | 38  0.18959  9.04914e+01 | 39  0.19678  3.12148e+02
 40  0.28141  1.08804e+02 | 41  0.17907  2.58557e+02 | 42  0.18424  6.70944e+01
 43  0.23272  1.25331e+02 | 44  0.17638  1.64609e+02 | 45  0.21831  2.92344e+02
 46  0.19411  2.12026e+02 | 47  0.08016  3.28436e+02 |

 - final statistics:
47 variables; iteration 66; function evaluation 147
Function value 9.5576e+01; maximum gradient component mag 9.3673e-04
Exit code = 1;  converg criter 1.0000e-03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 19.98550  9.36734e-04 |  2 -4.50467  8.63193e-04 |  3  0.04794  8.88581e-05
  4  0.03124  1.84474e-05 |  5  0.01634 -2.51715e-05 |  6  0.02217  7.60378e-05
  7  0.01458 -1.03328e-04 |  8 -0.05575  2.98784e-04 |  9 -0.00884 -2.28230e-04
 10 -0.09971  2.78163e-04 | 11 -0.22529 -5.76076e-05 | 12 -0.26290  5.37902e-05
 13 -0.04553 -2.41505e-06 | 14 -0.04021 -8.70543e-05 | 15 -0.14437 -8.73356e-05
 16  0.02065  2.15128e-05 | 17  0.14457 -7.58842e-05 | 18  0.18189  1.01084e-04
 19  0.16184 -3.58839e-05 | 20  0.19187  1.47118e-04 | 21  0.15801  5.24945e-04
 22  0.19144  3.91578e-05 | 23  0.14314  6.47255e-05 | 24  0.10791  2.52114e-04
 25  0.14177 -1.12933e-04 | 26  0.20567  2.70917e-04 | 27  0.17609  5.87844e-05
 28  0.18656 -1.17622e-04 | 29  0.24413  1.55697e-04 | 30  0.14245 -1.00506e-04
 31  0.17943  6.57771e-05 | 32  0.23195  3.88194e-04 | 33  0.21957  7.60436e-05
 34  0.24262  1.07084e-07 | 35  0.21770 -2.98184e-04 | 36  0.21557  2.77341e-05
 37  0.25400 -1.41830e-04 | 38  0.18969 -2.61991e-04 | 39  0.19648 -1.85195e-04
 40  0.28142 -1.38095e-05 | 41  0.17887 -2.36000e-04 | 42  0.18438  6.94652e-05
 43  0.23275  1.83292e-04 | 44  0.17636 -2.81724e-04 | 45  0.21804 -8.58027e-05
 46  0.19400 -3.67003e-04 | 47  0.07990 -1.81859e-04 |

Initial statistics: 116 variables; iteration 0; function evaluation 0; phase 2
Function value 4.7965929e+02; maximum gradient component mag -4.6983e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.50650 -3.02769e+01 |  2 -0.21635 -2.52681e+01 |  3 -0.52953  1.93974e+02
  4  0.37499  9.86706e+01 |  5 19.98550  9.36734e-04 |  6  0.00000  8.02602e+01
  7  0.00000  1.76914e+01 |  8  0.00000  2.15179e+01 |  9  0.00000  2.61661e+01
 10  0.00000  3.17803e+01 | 11  0.00000  3.86415e+01 | 12  0.00000  4.69505e+01
 13  0.00000  5.70128e+01 | 14  0.00000  6.28316e+01 | 15  0.00000  7.39715e+01
 16  0.00000  8.62691e+01 | 17  0.00000  9.22621e+01 | 18  0.00000  1.01463e+02
 19  0.00000  1.11850e+02 | 20  0.00000  1.26123e+02 | 21  0.00000  1.42486e+02
 22  0.00000  1.59935e+02 | 23  0.00000  1.79769e+02 | 24  0.00000  2.00831e+02
 25  0.00000  2.16743e+02 | 26  0.00000  2.22233e+02 | 27  0.00000  2.02396e+02
 28  0.00000  1.63467e+02 | 29  0.00000  1.32155e+02 | 30  0.00000  1.02652e+02
 31  0.00000  5.93409e+01 | 32  0.00000 -1.28110e+00 | 33  0.00000 -1.14785e+02
 34  0.00000 -2.41266e+02 | 35  0.00000 -1.93702e+02 | 36  0.00000 -2.01653e+02
 37  0.00000 -2.52368e+02 | 38  0.00000 -2.56870e+02 | 39  0.00000 -2.49516e+02
 40  0.00000 -3.04322e+02 | 41  0.00000 -3.34477e+02 | 42  0.00000 -3.07048e+02
 43  0.00000 -3.40398e+02 | 44  0.00000 -3.57292e+02 | 45  0.00000 -3.58805e+02
 46  0.00000 -4.10675e+02 | 47  0.00000 -4.34213e+02 | 48  0.00000 -4.00577e+02
 49  0.00000 -4.69825e+02 | 50  0.00000 -2.86665e+02 | 51  0.00000 -2.04274e+02
 52  0.00000 -1.08575e+02 | 53  0.00000 -8.21322e+01 | 54  0.00000 -5.22209e+01
 55  0.00000 -1.65256e+00 | 56  0.00000  1.44474e+02 | 57  0.00000  2.03660e+02
 58  0.00000  3.32979e+02 | 59  0.00000  3.66744e+02 | 60  0.00000  3.32518e+02
 61  0.00000  2.71713e+02 | 62  0.00000  2.31459e+02 | 63  0.00000  2.53558e+02
 64  0.00000  2.80153e+02 | 65  0.00000  2.23985e+02 | 66  0.00000  1.95447e+02
 67  0.00000  1.45216e+02 | 68  0.00000  1.54547e+02 | 69  0.00000  7.13424e+01
 70  0.00000 -3.39558e-04 | 71 -4.50467  7.91980e+00 | 72  0.04794 -1.24698e+00
 73  0.03124 -1.26380e+00 | 74  0.01634 -1.28376e+00 | 75  0.02217 -1.31228e+00
 76  0.01458 -1.33264e+00 | 77 -0.05575 -1.29077e+00 | 78 -0.00884 -1.37218e+00
 79 -0.09971 -1.25021e+00 | 80 -0.22529 -1.13488e+00 | 81 -0.26290 -1.10134e+00
 82 -0.04553 -1.20949e+00 | 83 -0.04021 -1.18821e+00 | 84 -0.14437 -1.13932e+00
 85  0.02065 -1.07297e+00 | 86  0.14457 -1.00734e+00 | 87  0.18189 -7.39062e-01
 88  0.16184 -5.42647e-01 | 89  0.19187 -1.71046e-01 | 90  0.15801 -1.87619e-01
 91  0.19144  3.45241e-01 | 92  0.14314  1.01780e-01 | 93  0.10791 -1.95825e-02
 94  0.14177  3.40250e-01 | 95  0.20567  9.95204e-01 | 96  0.17609  7.91985e-01
 97  0.18656  7.90390e-01 | 98  0.24413  1.78399e+00 | 99  0.14245  4.82355e-01
100  0.17943  1.16124e+00 |101  0.23195  2.03466e+00 |102  0.21957  1.95861e+00
103  0.24262  2.34936e+00 |104  0.21770  1.96710e+00 |105  0.21557  1.63179e+00
106  0.25400  2.03246e+00 |107  0.18969  8.51461e-01 |108  0.19648  9.48425e-01
109  0.28142  1.58691e+00 |110  0.17887  1.90953e-01 |111  0.18438 -1.02919e-01
112  0.23275  9.67395e-02 |113  0.17636 -5.88800e-01 |114  0.21804 -5.96118e-01
115  0.19400 -1.12104e+00 |116  0.07990 -1.16574e+00 |

Intermediate statistics: 116 variables; iteration 20; function evaluation 27; phase 2
Function value 4.2638505e+02; maximum gradient component mag 1.3849e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.50113 -1.08670e+01 |  2 -0.21281 -1.37245e+01 |  3 -0.56872  8.99832e+01
  4  0.34823  6.12396e+01 |  5 19.96076  1.38487e+03 |  6  0.00518 -9.82227e+01
  7  0.00959 -3.74792e+02 |  8  0.01005 -3.54103e+02 |  9  0.01021 -3.28110e+02
 10  0.00991 -2.98560e+02 | 11  0.00887 -2.68274e+02 | 12  0.00690 -2.41705e+02
 13  0.00366 -2.22118e+02 | 14  0.00408 -1.75200e+02 | 15  0.00009 -1.62802e+02
 16 -0.00471 -1.49755e+02 | 17 -0.00326 -9.53611e+01 | 18 -0.00425 -6.01482e+01
 19 -0.00569 -2.30878e+01 | 20 -0.00833  4.27913e+00 | 21 -0.00913  5.60358e+01
 22 -0.00765  1.46662e+02 | 23 -0.00514  2.67812e+02 | 24 -0.00328  3.89063e+02
 25 -0.00278  4.76745e+02 | 26 -0.00294  5.29081e+02 | 27 -0.00287  5.51406e+02
 28 -0.00233  5.57168e+02 | 29 -0.00194  5.48615e+02 | 30 -0.00169  5.21078e+02
 31 -0.00113  4.69604e+02 | 32 -0.00010  4.01368e+02 | 33  0.00240  3.10613e+02
 34  0.00614  2.37430e+02 | 35  0.00469  2.27145e+02 | 36  0.00478  2.30556e+02
 37  0.00625  2.13300e+02 | 38  0.00593  2.35654e+02 | 39  0.00513  2.74336e+02
 40  0.00632  2.78315e+02 | 41  0.00673  2.64398e+02 | 42  0.00515  2.37146e+02
 43  0.00596  1.63600e+02 | 44  0.00600  7.08742e+01 | 45  0.00537 -4.37076e+01
 46  0.00781 -1.79016e+02 | 47  0.00924 -2.96364e+02 | 48  0.00651 -3.85158e+02
 49  0.01616 -4.20455e+02 | 50  0.00138 -4.16065e+02 | 51 -0.00063 -3.43696e+02
 52 -0.00307 -2.38118e+02 | 53  0.00035 -9.60751e+01 | 54  0.00262  6.77498e+01
 55  0.00295  2.11672e+02 | 56 -0.00243  2.84809e+02 | 57 -0.00269  3.53379e+02
 58 -0.00612  3.73636e+02 | 59 -0.00582  3.63202e+02 | 60 -0.00404  2.92909e+02
 61 -0.00213  1.71237e+02 | 62 -0.00190  2.43827e+01 | 63 -0.00322 -8.22225e+01
 64 -0.00402 -1.43728e+02 | 65 -0.00694 -2.90755e+02 | 66 -0.01167 -3.75052e+02
 67 -0.01748 -4.43107e+02 | 68 -0.02417 -4.31120e+02 | 69 -0.01778 -4.65213e+02
 70  0.00564 -4.67681e+02 | 71 -4.50784  1.23634e+03 | 72  0.05076 -5.28782e+01
 73  0.03629 -2.16277e+02 | 74  0.02341 -3.23720e+02 | 75  0.03115 -2.94383e+02
 76  0.02522 -1.88321e+02 | 77 -0.04362  1.84442e+01 | 78  0.00420  1.14945e+02
 79 -0.08640 -4.80195e+01 | 80 -0.21059  4.15573e+02 | 81 -0.24967 -2.72899e+02
 82 -0.03241  7.76055e+02 | 83 -0.02854  6.46796e+02 | 84 -0.13509  1.20233e+01
 85  0.02763 -1.89370e+02 | 86  0.14993 -9.32506e+01 | 87  0.18505 -1.80423e+02
 88  0.16272 -2.44848e+02 | 89  0.19065 -2.30307e+02 | 90  0.15487 -1.65847e+02
 91  0.18658 -4.13504e+01 | 92  0.13684  1.01758e+02 | 93  0.10025  2.47317e+02
 94  0.13295  5.06011e+02 | 95  0.19456  3.80159e+02 | 96  0.16378  5.08622e+02
 97  0.17263  3.56495e+02 | 98  0.22885  3.92842e+02 | 99  0.12650 -5.59739e+01
100  0.16273 -2.33574e+02 |101  0.21468 -3.74663e+02 |102  0.20260 -6.17017e+02
103  0.22654 -5.64928e+02 |104  0.20317 -6.56716e+02 |105  0.20321 -4.96319e+02
106  0.24411 -1.72060e+02 |107  0.18273  3.14669e+01 |108  0.19230  2.65013e+02
109  0.27901 -5.56423e+01 |110  0.17996  5.20092e+02 |111  0.18789  5.39075e+02
112  0.23851  3.19602e+02 |113  0.18463  3.44274e+02 |114  0.22917  7.20092e+01
115  0.20844  1.18216e+02 |116  0.09525 -9.28005e+02 |
116 variables; iteration 40; function evaluation 57; phase 2
Function value 4.0950062e+02; maximum gradient component mag 2.8382e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42938 -4.66895e+01 |  2 -0.36832 -4.21930e+01 |  3 -0.42309  1.20663e+01
  4 -0.03585  8.89886e+01 |  5 19.75694  2.83824e+03 |  6 -0.00091 -6.33477e+01
  7 -0.01106 -8.49725e+02 |  8 -0.00275 -7.67042e+02 |  9  0.00554 -6.46143e+02
 10  0.01092 -5.16253e+02 | 11  0.01125 -4.20988e+02 | 12  0.00719 -3.79393e+02
 13  0.00092 -3.82209e+02 | 14 -0.00030 -3.01581e+02 | 15 -0.00502 -2.85338e+02
 16 -0.01027 -2.75385e+02 | 17 -0.00464 -5.48691e+01 | 18 -0.00379  7.55353e+01
 19 -0.00595  1.40781e+02 | 20 -0.01405  3.56072e+01 | 21 -0.01663  6.98972e+01
 22 -0.00667  4.97617e+02 | 23 -0.00358  7.42910e+02 | 24 -0.00257  9.07413e+02
 25  0.00133  1.20748e+03 | 26 -0.00187  1.10309e+03 | 27 -0.00052  1.19138e+03
 28 -0.00042  1.16364e+03 | 29  0.00058  1.17821e+03 | 30  0.00227  1.19353e+03
 31  0.00381  1.14583e+03 | 32  0.00543  1.05116e+03 | 33  0.00764  8.98252e+02
 34  0.00831  6.55467e+02 | 35  0.00937  6.07191e+02 | 36  0.00927  4.89382e+02
 37  0.00841  3.07041e+02 | 38  0.00907  2.51539e+02 | 39  0.00939  2.39737e+02
 40  0.00926  1.37696e+02 | 41  0.00933  4.36362e+01 | 42  0.00860 -2.99853e+01
 43  0.00884 -1.54411e+02 | 44  0.00978 -2.50940e+02 | 45  0.00939 -3.77174e+02
 46  0.01165 -5.10035e+02 | 47  0.01568 -5.76906e+02 | 48  0.01104 -7.10197e+02
 49  0.01935 -6.86395e+02 | 50  0.00759 -6.96864e+02 | 51  0.00622 -5.97692e+02
 52  0.00383 -4.60762e+02 | 53  0.00449 -3.00669e+02 | 54  0.00938  1.35343e+01
 55  0.00625  1.16221e+02 | 56  0.00253  2.39609e+02 | 57  0.00044  2.90343e+02
 58 -0.00163  3.64913e+02 | 59 -0.00167  3.82169e+02 | 60 -0.00156  2.94257e+02
 61 -0.00200  1.31292e+02 | 62  0.00326  1.55825e+02 | 63  0.00235  1.48716e+01
 64 -0.00188 -2.03205e+02 | 65 -0.00935 -5.15319e+02 | 66 -0.00438 -5.68311e+02
 67 -0.03633 -9.34868e+02 | 68 -0.02564 -8.80113e+02 | 69 -0.02884 -9.65502e+02
 70 -0.05456 -1.05624e+03 | 71 -4.34670  2.69715e+03 | 72  0.06878 -2.82623e+02
 73  0.05401 -1.25616e+02 | 74  0.03967 -4.54475e+02 | 75  0.04658 -1.35278e+02
 76  0.03901 -1.25840e+02 | 77 -0.03180 -1.43869e+02 | 78  0.01528  5.20996e+02
 79 -0.07726  1.63096e+02 | 80 -0.20273  6.60111e+02 | 81 -0.24355 -7.70708e+01
 82 -0.02866  7.95919e+02 | 83 -0.02492  1.47961e+03 | 84 -0.13432 -1.05169e+02
 85  0.02757 -1.12845e+02 | 86  0.14907 -3.33176e+01 | 87  0.18377 -6.12914e+01
 88  0.16157  1.93690e+02 | 89  0.18858 -1.53709e+02 | 90  0.15256 -1.47816e+02
 91  0.18426  7.36213e+01 | 92  0.13417  4.47150e+01 | 93  0.09779  4.57759e+02
 94  0.12885 -8.46581e+01 | 95  0.19091  2.29125e+02 | 96  0.16001  4.31140e+02
 97  0.16826  1.68445e+02 | 98  0.22413  3.11040e+02 | 99  0.12153 -1.54987e+02
100  0.15665 -6.23382e+02 |101  0.20854 -4.51367e+02 |102  0.19602 -7.30578e+02
103  0.21922 -8.73947e+02 |104  0.19567 -9.76569e+02 |105  0.19542 -8.68648e+02
106  0.23660 -2.93839e+02 |107  0.17576 -1.31712e+01 |108  0.18525  1.05114e+02
109  0.27211 -1.19363e+02 |110  0.17318  9.58957e+01 |111  0.18183  2.75584e+02
112  0.23308  2.39623e+02 |113  0.18030  3.43251e+02 |114  0.22630  3.96350e+02
115  0.20667  2.98815e+02 |116  0.09585 -8.03737e+00 |
116 variables; iteration 60; function evaluation 86; phase 2
Function value 4.0721683e+02; maximum gradient component mag 3.1390e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.40694 -4.19385e+01 |  2 -0.38598 -4.26878e+01 |  3 -0.39125 -2.40782e+00
  4 -0.09531  7.85746e+01 |  5 19.73468  3.13900e+03 |  6 -0.00208 -7.87700e+01
  7 -0.01096 -9.37447e+02 |  8 -0.00241 -8.41128e+02 |  9  0.00571 -7.09282e+02
 10  0.01060 -5.68200e+02 | 11  0.01129 -4.55487e+02 | 12  0.00729 -4.08932e+02
 13  0.00079 -4.16826e+02 | 14 -0.00114 -3.41221e+02 | 15 -0.00587 -3.23108e+02
 16 -0.01092 -3.08804e+02 | 17 -0.00534 -6.37066e+01 | 18 -0.00431  8.48875e+01
 19 -0.00591  1.72760e+02 | 20 -0.01424  4.79563e+01 | 21 -0.01768  5.90056e+01
 22 -0.00688  5.53623e+02 | 23 -0.00291  8.63304e+02 | 24 -0.00303  9.84370e+02
 25  0.00183  1.36428e+03 | 26 -0.00223  1.19289e+03 | 27  0.00015  1.34762e+03
 28 -0.00053  1.27127e+03 | 29  0.00045  1.27897e+03 | 30  0.00312  1.35734e+03
 31  0.00454  1.29827e+03 | 32  0.00615  1.18924e+03 | 33  0.00829  1.02015e+03
 34  0.00869  7.42984e+02 | 35  0.00990  6.80671e+02 | 36  0.00966  5.29967e+02
 37  0.00863  3.16786e+02 | 38  0.00939  2.34714e+02 | 39  0.00979  2.05236e+02
 40  0.00968  9.47847e+01 | 41  0.00983 -6.79662e+00 | 42  0.00914 -9.09255e+01
 43  0.00935 -2.17310e+02 | 44  0.01020 -3.19152e+02 | 45  0.00947 -4.53441e+02
 46  0.01207 -5.75819e+02 | 47  0.01648 -6.31187e+02 | 48  0.01126 -7.77003e+02
 49  0.01988 -7.28550e+02 | 50  0.00802 -7.53315e+02 | 51  0.00685 -6.40323e+02
 52  0.00460 -5.00603e+02 | 53  0.00467 -3.44055e+02 | 54  0.00989 -1.69078e+00
 55  0.00664  1.01433e+02 | 56  0.00319  2.38462e+02 | 57  0.00075  2.83595e+02
 58 -0.00114  3.74903e+02 | 59 -0.00139  4.00331e+02 | 60 -0.00157  3.14397e+02
 61 -0.00178  1.67517e+02 | 62  0.00404  2.32295e+02 | 63  0.00221  4.74974e+01
 64 -0.00257 -2.11863e+02 | 65 -0.00895 -5.32293e+02 | 66 -0.00506 -6.15193e+02
 67 -0.03837 -1.03261e+03 | 68 -0.02830 -9.85121e+02 | 69 -0.03549 -1.08223e+03
 70 -0.05224 -1.16242e+03 | 71 -4.32805  2.97573e+03 | 72  0.07085 -2.42313e+02
 73  0.05559 -3.21756e+02 | 74  0.04176 -2.67946e+02 | 75  0.04804 -2.68310e+02
 76  0.04051 -1.52709e+02 | 77 -0.03027 -3.92016e+01 | 78  0.01667  6.57871e+02
 79 -0.07620  2.22912e+02 | 80 -0.20199  6.37447e+02 | 81 -0.24300 -7.83306e+01
 82 -0.02881  5.16267e+02 | 83 -0.02435  1.76781e+03 | 84 -0.13401  1.19321e+02
 85  0.02733 -1.27526e+02 | 86  0.14874 -3.07479e+01 | 87  0.18371  1.35800e+02
 88  0.16098  1.22077e+02 | 89  0.18799 -1.96610e+02 | 90  0.15183 -2.56904e+02
 91  0.18376  1.12379e+02 | 92  0.13359  4.13827e+01 | 93  0.09714  4.34345e+02
 94  0.12833 -2.16300e+01 | 95  0.19044  3.38836e+02 | 96  0.15880  1.14111e+02
 97  0.16775  2.73094e+02 | 98  0.22325  2.31630e+02 | 99  0.12057 -2.98929e+02
100  0.15579 -6.87055e+02 |101  0.20762 -5.29695e+02 |102  0.19541 -6.31918e+02
103  0.21856 -7.99343e+02 |104  0.19488 -9.77712e+02 |105  0.19440 -9.98668e+02
106  0.23561 -4.06383e+02 |107  0.17501 -2.32030e+01 |108  0.18445  5.94297e+01
109  0.27132 -1.71010e+02 |110  0.17229 -8.83774e+01 |111  0.18101  8.92361e+01
112  0.23293  3.68444e+02 |113  0.18032  4.81984e+02 |114  0.22615  3.19122e+02
115  0.20758  6.22030e+02 |116  0.09655  4.03250e+01 |
116 variables; iteration 80; function evaluation 112; phase 2
Function value 4.0668701e+02; maximum gradient component mag 3.0723e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.38076 -3.58335e+01 |  2 -0.39392 -4.16275e+01 |  3 -0.39219 -5.81593e-02
  4 -0.09099  8.27902e+01 |  5 19.72901  3.07230e+03 |  6 -0.00177 -4.56346e+01
  7 -0.01114 -9.14795e+02 |  8 -0.00310 -8.23150e+02 |  9  0.00532 -6.89481e+02
 10  0.01165 -5.30780e+02 | 11  0.01054 -4.45243e+02 | 12  0.00740 -3.86621e+02
 13  0.00129 -3.87526e+02 | 14 -0.00132 -3.25225e+02 | 15 -0.00603 -3.07887e+02
 16 -0.01077 -2.88413e+02 | 17 -0.00544 -5.11829e+01 | 18 -0.00475  8.41372e+01
 19 -0.00600  1.79788e+02 | 20 -0.01423  5.79444e+01 | 21 -0.01776  6.51595e+01
 22 -0.00680  5.57439e+02 | 23 -0.00290  8.57870e+02 | 24 -0.00322  9.64904e+02
 25  0.00181  1.34515e+03 | 26 -0.00215  1.17955e+03 | 27  0.00004  1.31733e+03
 28 -0.00060  1.24316e+03 | 29  0.00036  1.25055e+03 | 30  0.00297  1.32162e+03
 31  0.00440  1.26435e+03 | 32  0.00579  1.14274e+03 | 33  0.00815  9.91425e+02
 34  0.00860  7.23472e+02 | 35  0.00993  6.67325e+02 | 36  0.00949  5.13010e+02
 37  0.00850  3.09774e+02 | 38  0.00926  2.29036e+02 | 39  0.00972  2.05094e+02
 40  0.00949  9.37613e+01 | 41  0.00971 -3.68518e+00 | 42  0.00922 -8.10029e+01
 43  0.00924 -2.09734e+02 | 44  0.01000 -3.13206e+02 | 45  0.00959 -4.40014e+02
