,metric,Estimate,Std. Error
1983,ssb.6,1026813.929,53727.63954
1984,ssb.7,1020284.865,56642.59454
1985,ssb.8,1016048.904,60361.66635
1986,ssb.9,1014145.146,63596.10124
1987,ssb.10,1013731.883,65902.08445
1988,ssb.11,1011609.167,67145.21257
1989,ssb.12,1010901.332,67303.31961
1990,ssb.13,1014357.079,66371.02301
1991,ssb.14,1016619.823,64343.2393
1992,ssb.15,1014419.809,61374.90444
1993,ssb.16,1012249.202,57598.91075
1994,ssb.17,1015439.953,53487.75523
1995,ssb.18,1014950.208,49723.54547
1996,ssb.19,1015854.895,46669.99535
1997,ssb.20,1012859.451,44521.58867
1998,ssb.21,1014815.59,43399.03344
1999,ssb.22,1016116.39,42861.93169
2000,ssb.23,1011116.434,42546.37894
2001,ssb.24,999671.2992,42410.24971
2002,ssb.25,994962.7095,42495.35923
2003,ssb.26,995664.5996,42703.60323
2004,ssb.27,1000497.507,43019.17056
2005,ssb.28,1030986.285,43419.12739
2006,ssb.29,1068774.188,44212.3452
2007,ssb.30,1093486.889,45570.46649
2008,ssb.31,1100036.328,45528.48587
2009,ssb.32,1089077.776,44311.50136
2010,ssb.33,1075495.904,42894.31697
2011,ssb.34,1060039.386,41626.38954
2012,ssb.35,1035768.412,40432.29779
2013,ssb.36,1012909.264,38921.34711
2014,ssb.37,980429.2549,36901.95197
2015,ssb.38,928375.1552,34735.84597
2016,ssb.39,888194.8226,32885.57421
2017,ssb.40,850696.3122,31597.01968
2018,ssb.41,815411.5237,30831.65292
2019,ssb.42,795736.4695,30523.53653
2020,ssb.43,777172.8371,30751.02509
2021,ssb.44,765184.7081,31554.33954
2022,ssb.45,770879.4729,32745.39326
2023,ssb.46,785646.9996,34580.55445
2024,ssb.47,808284.5956,37629.75085
2025,ssb.48,820804.8669,41844.73545
2026,ssb.49,840904.971,46498.66426
2027,ssb.50,855168.2993,51285.45453
2028,ssb.51,867505.5356,56070.74523
2029,ssb.52,880198.8672,60683.3312
2030,ssb.53,894561.5905,64770.73204
2031,ssb.54,911071.1922,67207.74699
2032,ssb.55,928609.3973,66800.05025
2033,ssb.56,945729.9592,64405.69376
2034,ssb.57,961365.6199,61174.36712
2035,ssb.58,975529.8933,57661.16734
2036,ssb.59,988256.9739,54145.66332
2037,ssb.60,999547.3938,50799.86838
2038,ssb.61,1009245.842,47723.41429
2039,ssb.62,1017314.273,44965.08431
2040,ssb.63,1024167.254,42534.54163
2041,ssb.64,1030069.814,40434.83494
2042,ssb.65,1035184.106,38641.91575
2043,ssb.66,1039538.01,37120.96137
2044,ssb.67,1043249.278,35851.60053
2045,ssb.68,1046388.781,34674.06298
2046,ssb.69,1048959.189,33754.35267
2047,ssb.70,1051063.661,33033.63247
2048,ssb.71,1052786.656,32466.65723
2049,ssb.72,1054197.326,32018.77861
2050,ssb.73,1055352.285,31663.49923
,exploitable_biomass,0,0
,exploitable_biomass.1,0,0
,exploitable_biomass.2,0,0
,exploitable_biomass.3,0,0
,exploitable_biomass.4,0,0
,exploitable_biomass.5,0,0
,exploitable_biomass.6,0,0
,exploitable_biomass.7,0,0
,exploitable_biomass.8,0,0
,exploitable_biomass.9,0,0
,exploitable_biomass.10,0,0
,exploitable_biomass.11,0,0
,exploitable_biomass.12,0,0
,exploitable_biomass.13,0,0
,exploitable_biomass.14,0,0
,exploitable_biomass.15,0,0
,exploitable_biomass.16,0,0
,exploitable_biomass.17,0,0
,exploitable_biomass.18,0,0
,exploitable_biomass.19,0,0
,exploitable_biomass.20,0,0
,exploitable_biomass.21,0,0
,exploitable_biomass.22,0,0
,exploitable_biomass.23,0,0
,exploitable_biomass.24,0,0
,exploitable_biomass.25,0,0
,exploitable_biomass.26,0,0
,exploitable_biomass.27,0,0
,exploitable_biomass.28,0,0
,exploitable_biomass.29,0,0
,exploitable_biomass.30,0,0
,exploitable_biomass.31,0,0
,exploitable_biomass.32,0,0
,exploitable_biomass.33,0,0
,exploitable_biomass.34,0,0
,exploitable_biomass.35,0,0
,exploitable_biomass.36,0,0
,exploitable_biomass.37,0,0
,exploitable_biomass.38,0,0
,exploitable_biomass.39,0,0
,exploitable_biomass.40,0,0
,exploitable_biomass.41,0,0
,exploitable_biomass.42,0,0
,exploitable_biomass.43,0,0
,exploitable_biomass.44,0,0
,exploitable_biomass.45,0,0
,exploitable_biomass.46,0,0
,exploitable_biomass.47,0,0
,exploitable_biomass.48,0,0
,exploitable_biomass.49,0,0
,exploitable_biomass.50,0,0
,exploitable_biomass.51,0,0
,exploitable_biomass.52,0,0
,exploitable_biomass.53,0,0
,exploitable_biomass.54,0,0
,exploitable_biomass.55,0,0
,exploitable_biomass.56,0,0
,exploitable_biomass.57,0,0
,exploitable_biomass.58,0,0
,exploitable_biomass.59,0,0
,exploitable_biomass.60,0,0
,exploitable_biomass.61,0,0
,exploitable_biomass.62,0,0
,exploitable_biomass.63,0,0
,exploitable_biomass.64,0,0
,exploitable_biomass.65,0,0
,exploitable_biomass.66,0,0
,exploitable_biomass.67,0,0
,exploitable_biomass.68,0,0
,exploitable_biomass.69,0,0
,exploitable_biomass.70,0,0
,exploitable_biomass.71,0,0
,exploitable_biomass.72,0,0
,exploitable_biomass.73,0,0
,biomass_depletion,1.000697989,0.04217001
,biomass_depletion.1,0.993679741,0.041612792
,biomass_depletion.2,0.986940229,0.041271127
,biomass_depletion.3,0.980520781,0.041512762
,biomass_depletion.4,0.974088518,0.042343724
,biomass_depletion.5,0.968504993,0.043489776
,biomass_depletion.6,0.965526325,0.044595197
,biomass_depletion.7,0.962408491,0.045388087
,biomass_depletion.8,0.962660499,0.045610297
,biomass_depletion.9,0.965901573,0.045155853
,biomass_depletion.10,0.971503737,0.043989247
,biomass_depletion.11,0.977564219,0.042102019
,biomass_depletion.12,0.985711596,0.039731039
,biomass_depletion.13,0.995880702,0.037291255
,biomass_depletion.14,1.002722128,0.035070447
,biomass_depletion.15,1.003703944,0.033274817
,biomass_depletion.16,1.001358352,0.032060517
,biomass_depletion.17,0.999188011,0.031424782
,biomass_depletion.18,0.993225451,0.031185423
,biomass_depletion.19,0.989319545,0.031198637
,biomass_depletion.20,0.982899198,0.031280915
,biomass_depletion.21,0.983144138,0.031456418
,biomass_depletion.22,0.990219776,0.03174536
,biomass_depletion.23,1.004970383,0.032160895
,biomass_depletion.24,1.021723309,0.032940983
,biomass_depletion.25,1.042079382,0.034185002
,biomass_depletion.26,1.057448831,0.035438517
,biomass_depletion.27,1.060970203,0.036261104
,biomass_depletion.28,1.068040996,0.036748853
,biomass_depletion.29,1.067410861,0.036866104
,biomass_depletion.30,1.056559345,0.036553804
,biomass_depletion.31,1.041442315,0.03583918
,biomass_depletion.32,1.017438074,0.034569569
,biomass_depletion.33,0.989697243,0.032827311
,biomass_depletion.34,0.957391347,0.030788434
,biomass_depletion.35,0.918950493,0.028681665
,biomass_depletion.36,0.888613359,0.026893028
,biomass_depletion.37,0.860411,0.025452734
,biomass_depletion.38,0.826473517,0.024318067
,biomass_depletion.39,0.808073456,0.023670969
,biomass_depletion.40,0.795435563,0.023239926
,biomass_depletion.41,0.785899166,0.022917136
,biomass_depletion.42,0.787488852,0.023047316
,biomass_depletion.43,0.788299553,0.02390742
,biomass_depletion.44,0.790921415,0.025607952
,biomass_depletion.45,0.79971115,0.027856573
,biomass_depletion.46,0.806207016,0.030396989
,biomass_depletion.47,0.813675078,0.033010963
,biomass_depletion.48,0.81589469,0.035838829
,biomass_depletion.49,0.83066529,0.038367172
,biomass_depletion.50,0.845744758,0.040150965
,biomass_depletion.51,0.86100389,0.04080546
,biomass_depletion.52,0.875959112,0.040305347
,biomass_depletion.53,0.890353186,0.038812949
,biomass_depletion.54,0.90399325,0.036571927
,biomass_depletion.55,0.916626188,0.033837603
,biomass_depletion.56,0.928160778,0.030827875
,biomass_depletion.57,0.938390968,0.027730265
,biomass_depletion.58,0.947494075,0.024665971
,biomass_depletion.59,0.955566474,0.021726415
,biomass_depletion.60,0.962654708,0.0189775
,biomass_depletion.61,0.968698759,0.016460653
,biomass_depletion.62,0.973699624,0.014192535
,biomass_depletion.63,0.977923934,0.012168165
,biomass_depletion.64,0.981543951,0.010381136
,biomass_depletion.65,0.984666698,0.008820947
,biomass_depletion.66,0.987316027,0.007465127
,biomass_depletion.67,0.989567727,0.006297869
,biomass_depletion.68,0.991467999,0.005146508
,biomass_depletion.69,0.993021087,0.004206734
,biomass_depletion.70,0.994290731,0.003439341
,biomass_depletion.71,0.995328874,0.002812484
,biomass_depletion.72,0.996177882,0.002300263
,biomass_depletion.73,0.99687232,0.001881603
,ssb_depletion,1.001117588,0.042471131
,ssb_depletion.1,0.993670133,0.042462094
,ssb_depletion.2,0.987337969,0.042449003
,ssb_depletion.3,0.982063099,0.042405146
,ssb_depletion.4,0.976897709,0.042222896
,ssb_depletion.5,0.971921627,0.041726612
,ssb_depletion.6,0.968172854,0.041621402
,ssb_depletion.7,0.962016664,0.043365397
,ssb_depletion.8,0.958022617,0.046084844
,ssb_depletion.9,0.956227582,0.048550606
,ssb_depletion.10,0.95583792,0.050313881
,ssb_depletion.11,0.953836432,0.051253853
,ssb_depletion.12,0.953169022,0.051329933
,ssb_depletion.13,0.956427411,0.05052093
,ssb_depletion.14,0.958560931,0.048886442
,ssb_depletion.15,0.956486559,0.046646744
,ssb_depletion.16,0.954439915,0.043934278
,ssb_depletion.17,0.957448444,0.041221398
,ssb_depletion.18,0.956986667,0.03902991
,ssb_depletion.19,0.957839688,0.037328596
,ssb_depletion.20,0.955015313,0.03615324
,ssb_depletion.21,0.956859738,0.035833712
,ssb_depletion.22,0.958086249,0.035887811
,ssb_depletion.23,0.953371839,0.035812757
,ssb_depletion.24,0.942580333,0.035691594
,ssb_depletion.25,0.93814065,0.03572048
,ssb_depletion.26,0.938802455,0.035788614
,ssb_depletion.27,0.943359356,0.036137596
,ssb_depletion.28,0.972106928,0.037138352
,ssb_depletion.29,1.007736774,0.039143072
,ssb_depletion.30,1.031038139,0.041688931
,ssb_depletion.31,1.037213541,0.042344827
,ssb_depletion.32,1.026880829,0.041474195
,ssb_depletion.33,1.014074615,0.040298414
,ssb_depletion.34,0.999500815,0.039242062
,ssb_depletion.35,0.976615949,0.038163733
,ssb_depletion.36,0.955062281,0.036674172
,ssb_depletion.37,0.924437197,0.03444368
,ssb_depletion.38,0.875355893,0.031741833
,ssb_depletion.39,0.837470249,0.029330138
,ssb_depletion.40,0.802113269,0.027481096
,ssb_depletion.41,0.768843585,0.026279317
,ssb_depletion.42,0.750292168,0.025674307
,ssb_depletion.43,0.7327887,0.025452824
,ssb_depletion.44,0.72148521,0.02553163
,ssb_depletion.45,0.726854748,0.02578965
,ssb_depletion.46,0.740778905,0.026368011
,ssb_depletion.47,0.762123674,0.027899115
,ssb_depletion.48,0.773928916,0.030460818
,ssb_depletion.49,0.792881108,0.033396577
,ssb_depletion.50,0.806329862,0.0364255
,ssb_depletion.51,0.817962522,0.039518899
,ssb_depletion.52,0.82993094,0.042632582
,ssb_depletion.53,0.843473412,0.045592724
,ssb_depletion.54,0.859040155,0.047409301
,ssb_depletion.55,0.875576758,0.046626235
,ssb_depletion.56,0.891719569,0.043879023
,ssb_depletion.57,0.906462281,0.040276655
,ssb_depletion.58,0.919817636,0.036360557
,ssb_depletion.59,0.931817877,0.032403896
,ssb_depletion.60,0.942463504,0.028571977
,ssb_depletion.61,0.951608076,0.024976749
,ssb_depletion.62,0.959215721,0.021674515
,ssb_depletion.63,0.96567733,0.018682126
,ssb_depletion.64,0.971242796,0.016008735
,ssb_depletion.65,0.976065013,0.013652389
,ssb_depletion.66,0.980170266,0.01158862
,ssb_depletion.67,0.983669584,0.009800653
,ssb_depletion.68,0.986629791,0.008024096
,ssb_depletion.69,0.989053404,0.006569575
,ssb_depletion.70,0.99103769,0.005378714
,ssb_depletion.71,0.992662286,0.00440372
,ssb_depletion.72,0.993992393,0.003605462
,ssb_depletion.73,0.995081392,0.002951903
,log_biomass,14.33091738,0.049882536
,log_biomass.1,14.32387932,0.050250449
,log_biomass.2,14.31707383,0.0510929
,log_biomass.3,14.31054819,0.052600373
,log_biomass.4,14.30396653,0.054645116
,log_biomass.5,14.29821799,0.056827215
,log_biomass.6,14.29513772,0.058663606
,log_biomass.7,14.29190334,0.060022527
,log_biomass.8,14.29216516,0.060442592
,log_biomass.9,14.29552629,0.059834647
,log_biomass.10,14.30130947,0.058193036
,log_biomass.11,14.30752834,0.055597099
,log_biomass.12,14.31582817,0.052190956
,log_biomass.13,14.32609183,0.04844206
,log_biomass.14,14.33293806,0.044988502
,log_biomass.15,14.33391673,0.042159609
,log_biomass.16,14.33157706,0.040018517
,log_biomass.17,14.32940731,0.038533241
,log_biomass.18,14.32342203,0.037759991
,log_biomass.19,14.31948173,0.0373334
,log_biomass.20,14.31297092,0.037350791
,log_biomass.21,14.31322009,0.03732173
,log_biomass.22,14.32039127,0.037166873
,log_biomass.23,14.3351777,0.036579781
,log_biomass.24,14.35171035,0.035999552
,log_biomass.25,14.37143776,0.035575574
,log_biomass.26,14.38607888,0.035395851
,log_biomass.27,14.38940341,0.035407517
,log_biomass.28,14.39604576,0.035037193
,log_biomass.29,14.39545559,0.034700025
,log_biomass.30,14.38523736,0.034467001
,log_biomass.31,14.37082623,0.034115645
,log_biomass.32,14.34750741,0.033724108
,log_biomass.33,14.31986344,0.033151654
,log_biomass.34,14.28667659,0.032586084
,log_biomass.35,14.2456966,0.032279199
,log_biomass.36,14.21212658,0.0319339
,log_biomass.37,14.17987454,0.031907591
,log_biomass.38,14.13963223,0.032637068
,log_biomass.39,14.11711732,0.033370441
,log_biomass.40,14.1013542,0.034371943
,log_biomass.41,14.08929285,0.03573075
,log_biomass.42,14.09131357,0.03744792
,log_biomass.43,14.09234252,0.040301518
,log_biomass.44,14.09566297,0.044153211
,log_biomass.45,14.10671495,0.048303711
,log_biomass.46,14.11480491,0.052831815
,log_biomass.47,14.12402547,0.05727896
,log_biomass.48,14.12674964,0.061842513
,log_biomass.49,14.14469129,0.064726737
,log_biomass.50,14.16268196,0.066314029
,log_biomass.51,14.18056338,0.066404583
,log_biomass.52,14.19778377,0.065177547
,log_biomass.53,14.21408258,0.062942767
,log_biomass.54,14.22928625,0.060044316
,log_biomass.55,14.2431641,0.056800602
,log_biomass.56,14.25566932,0.053456025
,log_biomass.57,14.26663103,0.050205785
,log_biomass.58,14.27628504,0.047149134
,log_biomass.59,14.28476869,0.044352755
,log_biomass.60,14.29215914,0.041860213
,log_biomass.61,14.29841804,0.039683907
,log_biomass.62,14.30356722,0.037815806
,log_biomass.63,14.30789624,0.03622138
,log_biomass.64,14.31159115,0.034874658
,log_biomass.65,14.31476756,0.033741357
,log_biomass.66,14.31745453,0.032790557
,log_biomass.67,14.31973256,0.032001866
,log_biomass.68,14.32165103,0.031284048
,log_biomass.69,14.32321625,0.030720772
,log_biomass.70,14.324494,0.030276538
,log_biomass.71,14.32553756,0.029924501
,log_biomass.72,14.32639019,0.029644277
,log_biomass.73,14.32708705,0.02942031
,log_ssb,13.8754329,0.049943264
,log_ssb.1,13.86796595,0.050318161
,log_ssb.2,13.86157305,0.050637608
,log_ssb.3,13.85621622,0.050893376
,log_ssb.4,13.8509426,0.051099486
,log_ssb.5,13.84583582,0.051291912
,log_ssb.6,13.84197129,0.052324611
,log_ssb.7,13.83559243,0.055516451
,log_ssb.8,13.83143204,0.059408229
,log_ssb.9,13.8295566,0.062709072
,log_ssb.10,13.82914901,0.065009383
,log_ssb.11,13.82705286,0.066374658
,log_ssb.12,13.8263529,0.066577536
,log_ssb.13,13.82976555,0.065431616
,log_ssb.14,13.83199378,0.063291348
,log_ssb.15,13.82982739,0.06050247
,log_ssb.16,13.82768535,0.056901908
,log_ssb.17,13.83083253,0.052674464
,log_ssb.18,13.83035011,0.048991118
,log_ssb.19,13.83124108,0.045941596
,log_ssb.20,13.82828803,0.043956334
,log_ssb.21,13.83021747,0.042765438
,log_ssb.22,13.83149846,0.042182108
,log_ssb.23,13.82656566,0.042078615
,log_ssb.24,13.8151818,0.042424195
,log_ssb.25,13.81046054,0.042710504
,log_ssb.26,13.81116573,0.042889547
,log_ssb.27,13.81600794,0.042997779
,log_ssb.28,13.84602646,0.042114166
,log_ssb.29,13.88202293,0.04136734
,log_ssb.30,13.90488213,0.041674452
,log_ssb.31,13.91085376,0.041388166
,log_ssb.32,13.90084182,0.040687178
,log_ssb.33,13.88829242,0.039883292
,log_ssb.34,13.87381662,0.03926872
,log_ssb.35,13.85065414,0.039036041
,log_ssb.36,13.82833721,0.038425305
,log_ssb.37,13.79574577,0.037638567
,log_ssb.38,13.74119119,0.037415743
,log_ssb.39,13.69694639,0.037025181
,log_ssb.40,13.65381048,0.037142538
,log_ssb.41,13.6114482,0.037811157
,log_ssb.42,13.58702334,0.038358851
,log_ssb.43,13.56341805,0.039567807
,log_ssb.44,13.54787253,0.041237546
,log_ssb.45,13.55528731,0.042477968
,log_ssb.46,13.57426286,0.044015384
,log_ssb.47,13.6026695,0.046555076
,log_ssb.48,13.61804068,0.050980126
,log_ssb.49,13.64223394,0.05529598
,log_ssb.50,13.65905357,0.059971183
,log_ssb.51,13.67337717,0.064634452
,log_ssb.52,13.68790315,0.068942751
,log_ssb.53,13.70408903,0.072405
,log_ssb.54,13.72237632,0.073767832
,log_ssb.55,13.74144347,0.071935574
,log_ssb.56,13.75971235,0.068101569
,log_ssb.57,13.77611007,0.06363278
,log_ssb.58,13.79073608,0.059107535
,log_ssb.59,13.80369804,0.054789053
,log_ssb.60,13.81505785,0.050822871
,log_ssb.61,13.82471392,0.047286213
,log_ssb.62,13.83267665,0.044199797
,log_ssb.63,13.83939041,0.041530855
,log_ssb.64,13.84513714,0.039254461
,log_ssb.65,13.85008985,0.037328544
,log_ssb.66,13.85428695,0.035709095
,log_ssb.67,13.85785071,0.034365325
,log_ssb.68,13.86085554,0.033136883
,log_ssb.69,13.86330898,0.0321789
,log_ssb.70,13.86531322,0.031428765
,log_ssb.71,13.86695117,0.030838781
,log_ssb.72,13.86829021,0.030372662
,log_ssb.73,13.86938519,0.030002777
,log_R,13.45554021,0.288973994
,log_R.1,13.45523104,0.288414941
,log_R.2,13.45465772,0.287261572
,log_R.3,13.46590929,0.286277173
,log_R.4,13.47875452,0.284953528
,log_R.5,13.49290456,0.282814972
,log_R.6,13.49965898,0.280182219
,log_R.7,13.50631648,0.277008563
,log_R.8,13.57812044,0.271490135
,log_R.9,13.57188347,0.267396358
,log_R.10,13.63307181,0.26161971
,log_R.11,13.68527178,0.256020082
,log_R.12,13.5918038,0.250701477
,log_R.13,13.53327564,0.24752595
,log_R.14,13.63771997,0.239746847
,log_R.15,13.62087383,0.238442958
,log_R.16,13.48950238,0.239570352
,log_R.17,13.46879357,0.237189816
,log_R.18,13.56971841,0.228284952
,log_R.19,13.5122382,0.232046297
,log_R.20,13.61602709,0.229551107
,log_R.21,13.7688704,0.2251365
,log_R.22,13.80599793,0.230133178
,log_R.23,14.14481819,0.214135281
,log_R.24,13.65008517,0.229085963
,log_R.25,13.56617553,0.221993217
,log_R.26,13.53780683,0.21880853
,log_R.27,13.52788972,0.218034833
,log_R.28,13.56692055,0.21255717
,log_R.29,13.55360816,0.205635778
,log_R.30,13.30994263,0.21540488
,log_R.31,13.29278525,0.20410681
,log_R.32,13.09315369,0.216637061
,log_R.33,13.01649847,0.221466104
,log_R.34,13.1620143,0.203780448
,log_R.35,13.24876971,0.199970358
,log_R.36,13.38705144,0.18952555
,log_R.37,13.24863593,0.203698765
,log_R.38,13.28479856,0.207515309
,log_R.39,13.42836378,0.207742846
,log_R.40,13.59129042,0.211591467
,log_R.41,13.60908546,0.220412236
,log_R.42,13.44249547,0.236715043
,log_R.43,13.34957069,0.251179346
,log_R.44,13.33643931,0.264783607
,log_R.45,13.38644106,0.277303871
,log_R.46,13.40709186,0.287934673
,log_R.47,13.45473247,0.293111466
,log_R.48,13.50676751,0.028472216
,log_R.49,13.50676751,0.028472216
,log_R.50,13.50676751,0.028472216
,log_R.51,13.50676751,0.028472216
,log_R.52,13.50676751,0.028472216
,log_R.53,13.50676751,0.028472216
,log_R.54,13.50676751,0.028472216
,log_R.55,13.50676751,0.028472216
,log_R.56,13.50676751,0.028472216
,log_R.57,13.50676751,0.028472216
,log_R.58,13.50676751,0.028472216
,log_R.59,13.50676751,0.028472216
,log_R.60,13.50676751,0.028472216
,log_R.61,13.50676751,0.028472216
,log_R.62,13.50676751,0.028472216
,log_R.63,13.50676751,0.028472216
,log_R.64,13.50676751,0.028472216
,log_R.65,13.50676751,0.028472216
,log_R.66,13.50676751,0.028472216
,log_R.67,13.50676751,0.028472216
,log_R.68,13.50676751,0.028472216
,log_R.69,13.50676751,0.028472216
,log_R.70,13.50676751,0.028472216
,log_R.71,13.50676751,0.028472216
,log_R.72,13.50676751,0.028472216
,log_R.73,13.50676751,0.028472216
,R_sd,0.289640606,0.055168393
1977,R,697697.012,201616.2919
1978,R.1,697481.3437,201164.0405
1979,R.2,697081.5782,200244.7497
1980,R.3,704969.1278,201816.5687
1981,R.4,714083.0242,203480.4769
1982,R.5,724259.1559,204831.3331
1983,R.6,729167.6651,204299.8148
1984,R.7,734038.2977,203334.8942
1985,R.8,788683.5512,214119.8034
1986,R.9,783779.8624,209579.8809
1987,R.10,833235.677,217990.8759
1988,R.11,877885.7887,224756.3917
1989,R.12,799549.559,200448.2555
1990,R.13,754096.5146,186658.4565
1991,R.14,837117.7059,200696.3303
1992,R.15,823133.6282,196270.4174
1993,R.16,721799.2853,172921.7085
1994,R.17,707005.3935,167694.4789
1995,R.18,782084.7693,178538.1837
1996,R.19,738397.9587,171342.5123
1997,R.20,819153.759,188037.6519
1998,R.21,954430.7808,214877.2059
1999,R.22,990532.4701,227954.3856
2000,R.23,1390005.406,297649.1976
2001,R.24,847533.0948,194157.9352
2002,R.25,779318.8389,173003.4963
2003,R.26,757521.2224,165752.1053
2004,R.27,750045.9276,163536.1387
2005,R.28,779899.6591,165773.2643
2006,R.29,769586.1301,158254.4425
2007,R.30,603162.9277,129924.2382
2008,R.31,592902.5051,121015.4389
2009,R.32,485606.3964,105200.3424
2010,R.33,449773.0789,99609.49169
2011,R.34,520223.7579,106011.4303
2012,R.35,567371.5778,113457.4977
2013,R.36,651512.2222,123478.2123
2014,R.37,567295.6809,115557.4297
2015,R.38,588186.0306,122057.6057
2016,R.39,678991.4248,141055.6108
2017,R.40,799139.1976,169091.0354
2018,R.41,813487.1897,179302.5301
2019,R.42,688654.8398,163014.96
2020,R.43,627545.0181,157626.3473
2021,R.44,619358.358,163995.9402
2022,R.45,651114.6739,180556.6195
2023,R.46,664700.5138,191390.3254
2024,R.47,697133.6857,204337.8767
2025,R.48,734369.443,20909.12538
2026,R.49,734369.443,20909.12538
2027,R.50,734369.443,20909.12538
2028,R.51,734369.443,20909.12538
2029,R.52,734369.443,20909.12538
2030,R.53,734369.443,20909.12538
2031,R.54,734369.443,20909.12538
2032,R.55,734369.443,20909.12538
2033,R.56,734369.443,20909.12538
2034,R.57,734369.443,20909.12538
2035,R.58,734369.443,20909.12538
2036,R.59,734369.443,20909.12538
2037,R.60,734369.443,20909.12538
2038,R.61,734369.443,20909.12538
2039,R.62,734369.443,20909.12538
2040,R.63,734369.443,20909.12538
2041,R.64,734369.443,20909.12538
2042,R.65,734369.443,20909.12538
2043,R.66,734369.443,20909.12538
2044,R.67,734369.443,20909.12538
2045,R.68,734369.443,20909.12538
2046,R.69,734369.443,20909.12538
2047,R.70,734369.443,20909.12538
2048,R.71,734369.443,20909.12538
2049,R.72,734369.443,20909.12538
2050,R.73,734369.443,20909.12538
,log_index_hat,14.26904237,0.041213375
,log_index_hat.1,14.260993,0.037098607
,log_index_hat.2,14.25104572,0.036614002
,log_index_hat.3,14.26707109,0.036149374
