,metric,Estimate,Std. Error
,pop_scalar,1,0
,pop_scalar.1,1,0
,pop_scalar.2,1,0
,pop_scalar.3,1,0
,pop_scalar.4,1,0
,pop_scalar.5,1,0
,pop_scalar.6,1,0
,pop_scalar.7,1,0
,pop_scalar.8,1,0
,pop_scalar.9,1,0
,pop_scalar.10,1,0
,pop_scalar.11,1,0
,pop_scalar.12,1,0
,pop_scalar.13,1,0
,pop_scalar.14,1,0
,pop_scalar.15,1,0
,pop_scalar.16,1,0
,pop_scalar.17,1,0
,pop_scalar.18,1,0
,pop_scalar.19,1,0
,pop_scalar.20,1,0
1977,biomass,1674319.51,83519.3028
1978,biomass.1,1662576.917,83545.23629
1979,biomass.2,1651300.691,84369.74183
1980,biomass.3,1640559.981,86294.06692
1981,biomass.4,1629797.83,89060.49201
1982,biomass.5,1620455.746,92085.98723
1983,biomass.6,1615471.982,94769.41163
1984,biomass.7,1610255.373,96651.5971
1985,biomass.8,1610677.021,97353.49359
1986,biomass.9,1616099.829,96698.76292
1987,biomass.10,1625473.099,94591.21505
1988,biomass.11,1635613.205,90935.3488
1989,biomass.12,1649245.003,86075.67379
1990,biomass.13,1666259.459,80717.0414
1991,biomass.14,1677706.202,75477.48925
1992,biomass.15,1679348.929,70800.69457
1993,biomass.16,1675424.399,67048.00025
1994,biomass.17,1671793.088,64419.60523
1995,biomass.18,1661816.822,62750.18754
1996,biomass.19,1655281.648,61797.2921
1997,biomass.20,1644539.434,61424.84929
1998,biomass.21,1644949.257,61392.35174
1999,biomass.22,1656787.871,61577.6252
2000,biomass.23,1681467.874,61507.72655
2001,biomass.24,1709498.06,61541.16458
2002,biomass.25,1743556.857,62028.03677
2003,biomass.26,1769272.278,62624.89847
2004,biomass.27,1775164.067,62854.15214
2005,biomass.28,1786994.575,62611.27388
2006,biomass.29,1785940.264,61972.1718
2007,biomass.30,1767784.031,60930.21322
2008,biomass.31,1742490.948,59446.20326
2009,biomass.32,1702328.212,57409.50035
2010,biomass.33,1655913.595,54896.27509
2011,biomass.34,1601860.93,52198.37547
2012,biomass.35,1537543.551,49630.67489
2013,biomass.36,1486784.925,47478.84115
2014,biomass.37,1439598.101,45934.10715
2015,biomass.38,1382815.544,45131.0455
2016,biomass.39,1352029.452,45117.81956
2017,biomass.40,1330884.34,45745.08036
2018,biomass.41,1314928.502,46983.38168
2019,biomass.42,1317588.288,49340.94141
2020,biomass.43,1318944.714,53155.47408
2021,biomass.44,1323331.487,58429.33402
2022,biomass.45,1338038.046,64632.20279
2023,biomass.46,1348906.615,71265.18413
2024,biomass.47,1361401.814,77979.68021
2025,biomass.48,1365115.563,84422.17743
2026,biomass.49,1389829.018,89959.09676
2027,biomass.50,1415059.254,93838.28052
2028,biomass.51,1440590.095,95661.78496
2029,biomass.52,1465612.451,95525.02492
2030,biomass.53,1489695.92,93765.58289
2031,biomass.54,1512517.816,90818.09791
2032,biomass.55,1533654.637,87112.50641
2033,biomass.56,1552953.756,83014.73467
2034,biomass.57,1570070.415,78826.61735
2035,biomass.58,1585301.293,74745.5826
2036,biomass.59,1598807.642,70911.52367
2037,biomass.60,1610667.331,67422.87728
2038,biomass.61,1620779.945,64318.88119
2039,biomass.62,1629147.152,61607.51229
2040,biomass.63,1636215.064,59265.96783
2041,biomass.64,1642271.901,57273.67169
2042,biomass.65,1647496.729,55588.77561
2043,biomass.66,1651929.459,54167.68693
2044,biomass.67,1655696.895,52985.39095
2045,biomass.68,1658876.338,51896.36733
2046,biomass.69,1661474.89,51041.79109
2047,biomass.70,1663599.196,50368.0245
2048,biomass.71,1665336.168,49834.35354
2049,biomass.72,1666756.687,49409.79669
2050,biomass.73,1667918.586,49070.68237
1977,ssb,1061754.086,53027.46462
1978,ssb.1,1053855.547,53028.07325
1979,ssb.2,1047139.852,53024.65742
1980,ssb.3,1041545.489,53007.7667
1981,ssb.4,1036067.237,52942.50334
1982,ssb.5,1030789.76,52871.17772
