parameter,Estimate,Std. Error
rec_pars,13.507884446022297,0.04994326402602238
R_log_sd,-1.239114412892283,0.19047188869785253
log_F,-5.1626742920080835,0.07254568571623286
log_F.1,-5.272530107653082,0.07274466730139188
log_F.2,-5.370834547892019,0.07288932270113216
log_F.3,-5.330744207369974,0.07300130690168406
log_F.4,-5.379553902461696,0.07326099842481733
log_F.5,-5.845823823350935,0.0743709151203993
log_F.6,-5.5292200217028675,0.07728795095850638
log_F.7,-6.129010534684106,0.08136978355490534
log_F.8,-6.9359912566815805,0.0849497672319407
log_F.9,-7.167615183027526,0.08717292027675821
log_F.10,-5.7657674646319785,0.08805152656149708
log_F.11,-5.732020921383849,0.08767246424507745
log_F.12,-6.423778540245032,0.08608068112807374
log_F.13,-5.337720374765965,0.0835958085254544
log_F.14,-4.528243792691861,0.08066546306249113
log_F.15,-4.298940723689483,0.07759396670170444
log_F.16,-4.441124450789847,0.07493919667377086
log_F.17,-4.260670419674922,0.07272300258387998
log_F.18,-4.4878037064972585,0.07115585992691745
log_F.19,-4.279294820587997,0.07041018760708569
log_F.20,-4.594739706623816,0.07001472377185072
log_F.21,-4.82702990631737,0.06991330140199187
log_F.22,-4.6045391441418655,0.06991493749003948
log_F.23,-4.191374925551284,0.06994258622131413
log_F.24,-4.380435593594458,0.07000954838935167
log_F.25,-4.323000873878086,0.0699114380080223
log_F.26,-3.9800261986085594,0.06991022341971342
log_F.27,-4.658810744081059,0.06977085538814595
log_F.28,-4.459078628127711,0.07013916102949315
log_F.29,-4.158977279462496,0.07071426382608703
log_F.30,-4.249195115780046,0.07089475455325883
log_F.31,-4.100712014845888,0.07000633735777316
log_F.32,-4.241277784867308,0.06886062923299241
log_F.33,-4.234948942729355,0.06768222173033894
log_F.34,-3.9653436837071836,0.06693750107769408
log_F.35,-4.332291368360034,0.06601720956953316
log_F.36,-4.2436041417654735,0.06515639184405633
log_F.37,-3.676389582696235,0.06453115580505106
log_F.38,-4.255403149772906,0.06426555650786424
log_F.39,-4.176898980539534,0.0642779463620415
log_F.40,-3.835510724396157,0.06488833965009885
log_F.41,-4.168863586337522,0.06547884620182677
log_F.42,-3.8914311908328485,0.06653609289746876
log_F.43,-4.037343711310567,0.067490500752231
log_F.44,-4.804609615059003,0.06853640974181918
log_F.45,-4.67998747925756,0.07010046229469757
log_F.46,-4.947460640179753,0.07270989331272625
log_F.47,-4.290953364003926,0.07658665101886848
sel_coff,-4.61022202432543,0.6626169715398481
sel_coff.1,-3.581013424541698,0.5867150337645131
sel_coff.2,-2.5670367146235975,0.5456004706683125
sel_coff.3,-1.611956921515984,0.5261028213419074
sel_coff.4,-0.7850046505752347,0.517243616836503
sel_coff.5,-0.14975236245788537,0.51287831778315
sel_coff.6,0.26672962142295054,0.50986790722069
sel_coff.7,0.47624005891035726,0.5071695109589689
sel_coff.8,0.5207920584583381,0.5058454274331823
sel_coff.9,0.4860583330580476,0.5053457172524508
sel_coff.10,0.4254016440259434,0.504621251342573
sel_coff.11,0.358185556220132,0.5042015556582116
sel_coff.12,0.2932592785509047,0.5041712444627124
sel_coff.13,0.23515343234751654,0.5045564909756206
sel_coff.14,0.18457713531298842,0.5053913067446018
sel_coff.15,0.14043993058482968,0.5067110433962195
sel_coff.16,0.10189518811490193,0.5085530517719029
sel_coff.17,0.0688224924545926,0.5109685021095671
sel_coff.18,0.044171187690211874,0.5139221874245182
sel_coff.19,-4.198565932500328,0.6418246429019611
sel_coff.20,-3.1785534671404503,0.5759031064242587
sel_coff.21,-2.180687001261426,0.5424222600801428
sel_coff.22,-1.2631628237771488,0.5270413499046268
sel_coff.23,-0.5092963344435113,0.5192691147001404
sel_coff.24,0.01847559154150956,0.5138687472094824
sel_coff.25,0.3127104138356439,0.5094845719917849
sel_coff.26,0.4195573018031019,0.5075252934456539
sel_coff.27,0.41603526876517843,0.5068405567828752
sel_coff.28,0.3846324825016987,0.5058034899569366
sel_coff.29,0.34584295762469913,0.5050120111654349
sel_coff.30,0.307028363333238,0.5046125067524305
sel_coff.31,0.2692182979383305,0.5046114275924856
sel_coff.32,0.2314994662760041,0.5050214090960413
sel_coff.33,0.19226912710645552,0.505870048460706
sel_coff.34,0.156761393306156,0.5072333863338992
sel_coff.35,0.1265036783357342,0.5091733785714221
sel_coff.36,0.10218637862756615,0.5117551439670366
sel_coff.37,0.08519716143708625,0.5149049598708172
log_sel_slp,0.5259175036653189,0.25943912830372323
log_sel_slp.1,0.5390465905500624,0.26120023597076586
sel_inf,2.832625534326298,0.28235351936649034
sel_inf.1,2.9873240256957914,0.3028003604613432
