Object,Forecast year,N,Arrowtooth flounder
biomass,0,10,0.10742208259777533
biomass,1,10,0.11377401542796925
biomass,2,9,0.13277993775373778
biomass,3,8,0.15436861444891103
ssb,0,10,0.08896988954249418
ssb,1,10,0.10241351662174443
ssb,2,9,0.12699048114452643
ssb,3,8,0.15623389832865786
R,0,10,0.12335917127182783
R,1,10,0.1505955065906575
R,2,9,0.13596777716472253
R,3,8,0.1432220946081565
F_spp,0,10,-0.07950299847496797
F_spp,1,10,-0.0819756825750369
F_spp,2,9,-0.09422251499757754
F_spp,3,8,-0.10921423865864609
