Object,Forecast year,N,Arrowtooth flounder
biomass,0,10,0.0404413251435108
biomass,1,10,0.03774327152782857
biomass,2,9,0.03890722397450648
biomass,3,8,0.04661904666741706
ssb,0,10,0.06424628745146774
ssb,1,10,0.07319781061935744
ssb,2,9,0.08695202949611884
ssb,3,8,0.10467966237916511
R,0,10,-0.06076940983206558
R,1,10,-0.011432362975592528
R,2,9,-0.012011149760360804
R,3,8,0.008314332370354057
F_spp,0,10,-0.035576665302390766
F_spp,1,10,-0.03476416641274514
F_spp,2,9,-0.03590996321389476
F_spp,3,8,-0.04099323926375356
