slot_1,fit,component,unit,axis,series,value
0.6,1,Total,NA,model,Total,28.40180626137205
0.65,2,Total,NA,model,Total,19.943237419651126
0.7,3,Total,NA,model,Total,13.437443873522668
0.75,4,Total,NA,model,Total,8.563063036005175
0.8,5,Total,NA,model,Total,5.036030178752654
0.85,6,Total,NA,model,Total,2.61663688454108
0.9,7,Total,NA,model,Total,1.0843927006910121
0.95,8,Total,NA,model,Total,0.2535747696320101
1,9,Total,NA,model,Total,0
1.05,10,Total,NA,model,Total,0.2228470775166187
1.1,11,Total,NA,model,Total,0.8130764483660187
1.15,12,Total,NA,model,Total,1.693744111029929
1.2000000000000002,13,Total,NA,model,Total,2.7911794057862807
1.25,14,Total,NA,model,Total,4.028301041267056
1.3,15,Total,NA,model,Total,5.339888962697401
1.35,16,Total,NA,model,Total,6.701068687971443
1.4,17,Total,NA,model,Total,8.098523793260014
0.6,1,Index data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Index data,8.445573434076506
0.65,2,Index data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Index data,6.707314534607364
0.7,3,Index data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Index data,5.302569725414639
0.75,4,Index data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Index data,4.187949656109837
0.8,5,Index data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Index data,3.3146403420372548
0.85,6,Index data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Index data,2.6325365595265184
0.9,7,Index data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Index data,2.1021184733526637
0.95,8,Index data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Index data,1.680847149703471
1,9,Index data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Index data,1.340408813586342
1.05,10,Index data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Index data,1.0607899803668062
1.1,11,Index data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Index data,0.8282388171075565
1.15,12,Index data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Index data,0.6296459456384169
1.2000000000000002,13,Index data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Index data,0.46406228079487066
1.25,14,Index data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Index data,0.32593006717952644
1.3,15,Index data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Index data,0.20741190568086987
1.35,16,Index data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Index data,0.09919922839301343
1.4,17,Index data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Index data,0
0.6,1,Composition data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Composition data,9.865950275305146
0.65,2,Composition data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Composition data,6.207353456086004
0.7,3,Composition data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Composition data,3.5698173482422035
0.75,4,Composition data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Composition data,1.7867375871618307
0.8,5,Composition data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Composition data,0.6887820473643202
0.85,6,Composition data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Composition data,0.1337421405603294
0.9,7,Composition data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Composition data,0
0.95,8,Composition data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Composition data,0.20426073051530835
1,9,Composition data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Composition data,0.670801703494611
1.05,10,Composition data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Composition data,1.3368398847141663
1.1,11,Composition data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Composition data,2.15252494762462
1.15,12,Composition data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Composition data,3.083614543455681
1.2000000000000002,13,Composition data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Composition data,4.098942540439197
1.25,14,Composition data,ATF_bottom_trawl,fleet,ATF_bottom_trawl: Composition data,5.178725895210732
