group,source,fleet,n,sdnr,sdnr_lo,sdnr_hi,lower,lower_lo,lower_hi,upper,upper_lo,upper_hi,sdnr_ok,lower_ok,upper_ok
comp fleet 1,comp,1,656,0.8734538811884266,0.945841923558766,1.0541185533395256,-1.6507193776507048,-2.1589082392129506,-1.7531863718387577,2.1043679153665598,1.7495631591734955,2.148784880087804,FALSE,FALSE,TRUE
index fleet 1,index,1,16,1.9114895216965193,0.6461237133884526,1.3537206226653755,-3.287065653606065,-2.5266373184223614,-0.7513124822316095,3.278631758363313,0.7416190204622092,2.5443923540575293,FALSE,FALSE,FALSE
catch fleet 3,catch,3,50,0.27742294886474744,0.8024823281501011,1.1971259252675315,-0.5904878877166432,-2.480468264507931,-1.229663576184925,0.48767186096320136,1.2117118218430618,2.488094507868374,FALSE,FALSE,FALSE
comp fleet 3,comp,3,1767,0.7553774519106042,0.9670165865534028,1.0329685635820478,-1.5221983245981971,-2.0841711318881697,-1.8341097935404824,1.445568216538067,1.8312666305905565,2.081031877100012,FALSE,FALSE,FALSE
all,NA,NA,2489,0.8020273829463165,0.9722116903825246,1.027777745901868,-1.6024170409755296,-2.066230834044486,-1.8527470841160196,1.6861175010561353,1.8527805768948675,2.061832272292361,FALSE,FALSE,FALSE
