parameter,Estimate,Std. Error,
rec_pars,14.73307897,0.282404877," 2,503,196 "
R_log_sd,-1.28758568,0.1741244,0.275936178
log_M1,-1.109709907,0.0836692,0.329654578
log_M1.1,-0.898727704,0.072411731,0.407087266
log_F,-4.93716361,0.112085882,
log_F.1,-5.046651476,0.112445647,
log_F.2,-5.145208352,0.112674933,
log_F.3,-5.105957588,0.112846793,
log_F.4,-5.156384288,0.113146548,
log_F.5,-5.625425034,0.114154312,
log_F.6,-5.312622665,0.116924124,
log_F.7,-5.91688476,0.121295071,
log_F.8,-6.728634548,0.125667438,
log_F.9,-6.964816256,0.128580173,
log_F.10,-5.566689327,0.129827603,
log_F.11,-5.535335532,0.129637143,
log_F.12,-6.227881003,0.128045071,
log_F.13,-5.140446627,0.125488109,
log_F.14,-4.332191325,0.122549431,
log_F.15,-4.092457701,0.119453252,
log_F.16,-4.229264171,0.11652537,
log_F.17,-4.044139203,0.114128314,
log_F.18,-4.267538086,0.112717631,
log_F.19,-4.05537771,0.112418478,
log_F.20,-4.364721142,0.112641193,
log_F.21,-4.589921082,0.113078921,
log_F.22,-4.359843821,0.113697603,
log_F.23,-3.940114753,0.114674841,
log_F.24,-4.126981215,0.115967591,
log_F.25,-4.074537025,0.11701877,
log_F.26,-3.742978583,0.117961212,
log_F.27,-4.43742346,0.117962513,
log_F.28,-4.251846245,0.117482137,
log_F.29,-3.963688996,0.116758662,
log_F.30,-4.065286709,0.115449886,
log_F.31,-3.923871879,0.113297531,
log_F.32,-4.065502665,0.111151702,
log_F.33,-4.05783465,0.109813141,
log_F.34,-3.787281195,0.10908439,
log_F.35,-4.153264101,0.108064079,
log_F.36,-4.064097614,0.106650069,
log_F.37,-3.493263167,0.105340685,
log_F.38,-4.061819676,0.10431056,
log_F.39,-3.971075289,0.103598225,
log_F.40,-3.613696521,0.104333762,
log_F.41,-3.93189426,0.105909226,
log_F.42,-3.643757199,0.108280422,
log_F.43,-3.785139745,0.110522313,
log_F.44,-4.554829168,0.112195642,
log_F.45,-4.437670679,0.113916928,
log_F.46,-4.718054854,0.116022129,
log_F.47,-4.07925512,0.118335729,
log_F.48,-4.418091228,0.120224409,
log_F.49,-4.208235236,0.121739746,
sel_coff,-5.926763283,0.72613538,
sel_coff.1,-4.763948601,0.646321466,
sel_coff.2,-3.615946679,0.598438186,
sel_coff.3,-2.525432249,0.570750571,
sel_coff.4,-1.559349059,0.553514946,
sel_coff.5,-0.776592278,0.541042409,
sel_coff.6,-0.199234163,0.530276284,
sel_coff.7,0.182632346,0.520107163,
sel_coff.8,0.389968001,0.511403971,
sel_coff.9,0.458764413,0.506956643,
sel_coff.10,0.45151979,0.505839022,
sel_coff.11,0.42706858,0.504917103,
sel_coff.12,0.4017643,0.504568894,
sel_coff.13,0.380788129,0.504917944,
sel_coff.14,0.364773591,0.505999805,
sel_coff.15,0.352783337,0.507825297,
sel_coff.16,0.344022436,0.510393753,
sel_coff.17,0.337827849,0.513687708,
sel_coff.18,0.333995883,0.517468006,
sel_coff.19,-5.503452327,0.709674331,
sel_coff.20,-4.417716331,0.637882621,
sel_coff.21,-3.353266693,0.596492189,
sel_coff.22,-2.365970441,0.573201815,
sel_coff.23,-1.533287502,0.559325563,
sel_coff.24,-0.906064798,0.550837272,
sel_coff.25,-0.478423411,0.546293001,
sel_coff.26,-0.200296125,0.544746547,
sel_coff.27,-0.012428803,0.544506478,
sel_coff.28,0.129166369,0.54326351,
sel_coff.29,0.249048327,0.539028244,
sel_coff.30,0.357922658,0.531433136,
sel_coff.31,0.451114656,0.521862292,
sel_coff.32,0.517378939,0.514303527,
sel_coff.33,0.548640012,0.513833144,
sel_coff.34,0.55872814,0.521684521,
sel_coff.35,0.558531554,0.52791058,
sel_coff.36,0.556191501,0.531317813,
sel_coff.37,0.553225367,0.534350134,
log_sel_slp,0.030555021,0.165137716,
log_sel_slp.1,-0.121646052,0.178848656,
sel_inf,4.40711574,0.550037348,
sel_inf.1,5.111472826,0.650215207,
