Estimate,Std. Error
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2219335.0388774406,265001.9706912656
2207611.4522174136,266558.2259645656
2197729.3011806966,271016.9189757997
2190305.276712253,277940.4500900425
2185230.0299485163,285822.52971437055
2184133.4556196174,293220.844774447
2188971.3335182853,298971.2266861817
2193468.358415105,302252.8757181564
2203704.66399704,303111.78026815504
2218214.219047189,301512.4209554312
2235583.9346113685,297729.93275028205
2253371.933594317,292828.1821126261
2271951.9116508313,287648.5500705377
2288999.806840965,282807.7629829125
2297925.815506758,279095.1466528883
2293789.840363642,275631.5426809827
2276174.718122965,270492.14527013083
2250181.1033542305,263680.01645961415
2215269.3125059544,257947.36754605008
2187789.3821733207,255386.23207102314
2169541.2325501773,258227.12035921527
2184030.6316306386,267576.3462546847
2230762.9283291795,281292.85769758996
2319471.9685380193,301166.20870937523
2417843.328354449,319831.67217675253
2503788.369514843,330336.5577821754
2552921.644370338,330785.4196075618
2558101.389805137,324156.7269886008
2554963.9591875393,314779.3891238015
2533393.1452391357,305858.00367383234
2487703.44063868,296004.6645929416
2426679.9259525267,284287.04465382535
2340720.79863845,269495.8703744241
2238997.082238277,251536.70050549565
2126276.721001247,232472.6891014032
2008259.9197377425,215291.65606295096
1915852.2363687172,202787.47822866807
1839325.463102308,195080.19374653976
1764915.400070413,191512.63143278364
1729582.2445881881,192307.4125595122
1720023.8522679058,198264.60482991402
1735262.9917354349,210056.08420386145
1782947.4768625137,225119.81886211777
1831548.0375196955,239699.6697135848
1876435.1176478965,251042.53333356223
1918200.652328008,258564.0412064523
1943816.4818111742,263573.0384254368
1962768.8057134862,267705.41782028903
1966267.6092695612,271502.00976917736
1973697.002951952,275698.2094602306
1980281.7882964504,280549.27163937804
2008237.9806752729,284414.44131419173
2037028.1124341763,285457.4128730569
2065178.4868668,283489.90682299336
2091322.6125281511,279465.56115605636
2114541.533337397,274584.280456746
2134461.869642319,269741.5785255719
2151033.3929047757,265442.3049287633
2164547.447194563,261850.72825190204
2175392.2297107866,258954.0730029161
2183962.709096261,256660.60078323403
2190630.078016353,254867.60402557458
2195706.2992124525,253478.3733993388
2199554.1379754734,252399.9731874836
2202463.57262192,251554.57972957363
2204664.1306255674,250889.55326545946
2206329.6024837703,250360.05326345755
2207573.293907732,249943.54795375187
2208484.7062483164,249618.62933640086
2209176.212112957,249363.92773209
2209688.167429122,249159.94416779935
2210054.741811025,249006.11784262882
2210317.3005532697,248890.14937623192
2210505.4124159007,248802.7984845071
832088.3582700264,60421.79037044214
825211.0024974847,60396.59205838611
820028.1114909265,60368.33146759124
816295.1265028318,60334.894862654444
812954.0466250236,60313.59204615462
810097.21859339,60765.73564840257
808961.0005334291,63826.218704153325
806424.0058419798,69870.78113509473
806877.6137239726,75565.68111700789
809925.8480200843,79495.26798251263
814323.9867478884,81709.17868199463
816737.7799589905,82420.2631932527
819483.4923954908,81750.36260930961
824657.105381345,79749.9872224535
827531.3394434225,76589.31355549156
825354.8777418121,72512.50648963249
822266.2341919891,67899.48918076571
822981.6401528977,63864.431365364275
819253.6392961481,61284.490397271264
816856.6695816328,59955.7287943877
810478.9419041342,59271.676804039234
805124.1308892877,58839.5292442653
795752.0876351412,58454.48526614782
782144.7117062644,58488.52154979074
768841.8586023636,59365.65907051931
770047.770396001,61054.82737648464
785292.9337100551,63352.96110539739
810998.41678315,66021.86742892998
861010.2037006296,68310.07508273092
912072.2056826735,70160.72767274895
937075.780759849,70588.57543604562
934094.8463726653,68419.55716833085
913451.5566687993,65678.15422545798
893498.5172743782,63509.45279617199
875052.9426145998,61909.15956722067
849386.997108577,60352.5998998894
822394.8727933756,58018.033831358654
784086.3404279716,54708.6756643424
727905.4397240124,50981.83566445009
684593.9660338828,47468.74042109398
647203.2707316926,44643.15175101472
615593.672267675,42819.17533202519
